Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,44,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE B2,3,15,101,3000,4810,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE C,20,5,1,1,28,SCHOOL OF BUSINESS,NUS Students [P]
ACC2002,LECTURE B1,9,14,50,353,1310,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE B2,6,9,50,280,1000,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC3613,SECTIONAL TEACHING D1,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3613,SECTIONAL TEACHING D2,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3613,SECTIONAL TEACHING D3,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3615,SECTIONAL TEACHING E1,3,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3615,SECTIONAL TEACHING E2,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3615,SECTIONAL TEACHING E3,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
AR1102,DESIGN TUTORIAL 1,4,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1326,LECTURE 1,6,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1721,LECTURE 1,6,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2102,DESIGN TUTORIAL 1,10,3,1,1,11,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2223,LECTURE 1,1,6,119,3000,3000,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P, G]
AR2326,LECTURE 1,25,5,1,1,11,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2724,LECTURE 1,22,5,1,1,11,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3102,DESIGN TUTORIAL 1,20,3,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3323,LECTURE 1,46,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3324,LECTURE 1,23,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4102,DESIGN TUTORIAL 1,19,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4104,DESIGN TUTORIAL 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4323,LECTURE 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 2,39,2,5273,1,5348,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
BCP4002A,SECTIONAL TEACHING A,492,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
BCP4002B,SECTIONAL TEACHING B,498,2,1,1,500,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001A,SECTIONAL TEACHING A,498,1,101,1,101,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001B,SECTIONAL TEACHING B,499,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001C,SECTIONAL TEACHING C,499,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
BN4202,LECTURE 1,25,0,0,0,0,ENGINEERING,NUS Students [P]
BN4402,LECTURE 1,15,5,1,1,3973,ENGINEERING,NUS Students [P]
BN4404,LECTURE 1,9,2,1,1,10,ENGINEERING,NUS Students [P]
BSP1004,LECTURE D2,1,11,1,3800,3800,SCHOOL OF BUSINESS,NUS Students [P, G]
