Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE B1,3,16,120,1857,2393,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE B2,9,22,425,1290,4000,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE C,17,1,1442,1,1442,SCHOOL OF BUSINESS,NUS Students [P]
AR1101,DESIGN LECTURE 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1121,LECTURE 1,19,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1221,LECTURE 1,26,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2101,DESIGN LECTURE 1,26,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2221,LECTURE 1,16,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2511,PACKAGED LECTURE 1,26,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2723,LECTURE 1,52,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3101,DESIGN LECTURE 1,14,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3222,LECTURE 1,13,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4101,DESIGN LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4103,DESIGN LECTURE 1,34,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4322,LECTURE 1,39,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 1,45,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5312,LECTURE 1,27,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5321,LECTURE 1,34,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5610,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS3232,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3234,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3240,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
AS4231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
BSP1004,LECTURE D1,1,5,50,5814,5814,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1004,LECTURE D2,2,4,286,647,857,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005A,LECTURE D2,1,3,227,746,746,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005B,LECTURE D3,1,6,300,596,596,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A2,6,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
BSP3001,SECTIONAL TEACHING A6,43,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
CE2134,LECTURE 1,48,0,0,0,0,ENGINEERING,NUS Students [P]
CE2155,LECTURE 1,79,1,1,1,1,ENGINEERING,NUS Students [P]
CE2184,LECTURE 1,25,3,3,1,135,ENGINEERING,NUS Students [P, G]
CE2407,LECTURE 1,49,0,0,0,0,ENGINEERING,NUS Students [P, G]
CE2409,LECTURE 1,83,0,0,0,0,ENGINEERING,NUS Students [P, G]
CE3101,LECTURE 1,5,2,1,1,142,ENGINEERING,NUS Students [P, G]
CE3102,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
CE3116,LECTURE 1,14,1,1,1,1,ENGINEERING,NUS Students [P]
CE3121,LECTURE 1,22,1,1,1,1,ENGINEERING,NUS Students [P]
CE3166,LECTURE 1,37,0,0,0,0,ENGINEERING,NUS Students [P]
CE4103,LECTURE Dsg,28,0,0,0,0,ENGINEERING,NUS Students [P]
CE4104,LECTURE Prj,44,3,1,1,100,ENGINEERING,NUS Students [P]
CE4257,LECTURE 1,38,0,0,0,0,ENGINEERING,NUS Students [P]
CE5101,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
CE5105,LECTURE 1,3,3,1,1,4926,ENGINEERING,NUS Students [P]
CE5108,LECTURE 1,4,0,0,0,0,ENGINEERING,NUS Students [P]
CE5113,LECTURE 1,14,1,1,1,1,ENGINEERING,NUS Students [P]
CE5203,LECTURE 1,10,0,0,0,0,ENGINEERING,NUS Students [P]
CE5205,LECTURE 1,16,3,1,1,100,ENGINEERING,NUS Students [P]
CE5307,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
CE5312,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
CE5509,LECTURE 1,17,0,0,0,0,ENGINEERING,NUS Students [P]
CE5510,LECTURE 1,21,0,0,0,0,ENGINEERING,NUS Students [P]
CE5514,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
CE5610,LECTURE 1,21,1,100,1,100,ENGINEERING,NUS Students [P]
CE5703,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
CE5712,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
CE5713,LECTURE 1,18,0,0,0,0,ENGINEERING,NUS Students [P]
CE5714,LECTURE 1,12,0,0,0,0,ENGINEERING,NUS Students [P]
CE5805,LECTURE 1,2,2,100,1,1000,ENGINEERING,NUS Students [P]
CE5886,LECTURE 1,12,0,0,0,0,ENGINEERING,NUS Students [P]
CE5887,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
CH1101E,LECTURE 1,110,4,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2121,LECTURE 1,76,2,1,1,700,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2161,SECTIONAL TEACHING 1,12,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH2223,LECTURE 1,29,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2245,LECTURE 1,26,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
