Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,8,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,8,16,102,300,550,SCHOOL OF BUSINESS,New Students [P]
ACC1002,LECTURE B2,3,9,212,550,747,SCHOOL OF BUSINESS,New Students [P]
ACC1002X,LECTURE B1,10,21,1,1908,4448,SCIENCE,Returning Students [P]
,,1,5,37,2000,2000,SCHOOL OF COMPUTING,Returning Students [P]
,,10,12,85,103,457,SCIENCE,New Students [P]
,,20,36,15,746,747,ENGINEERING,New Students [P]
,,35,11,1,1,260,SCHOOL OF COMPUTING,New Students [P]
,,3,5,226,300,450,SCHOOL OF BUSINESS,New Students [P]
,,8,14,100,203,747,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
,,3,5,527,940,1500,SCHOOL OF BUSINESS,NUS Students [G]
ACC1002X,LECTURE B2,12,23,1,2111,3743,SCIENCE,Returning Students [P]
,,15,11,1,1,500,SCHOOL OF COMPUTING,Returning Students [P]
,,10,12,32,40,396,SCIENCE,New Students [P]
,,20,44,31,745,1461,ENGINEERING,New Students [P]
,,35,9,1,1,321,SCHOOL OF COMPUTING,New Students [P]
,,3,6,110,200,226,SCHOOL OF BUSINESS,New Students [P]
,,8,10,1,303,747,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
,,3,8,1,1006,1499,SCHOOL OF BUSINESS,NUS Students [G]
ACC1006,LECTURE C,4,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
AR1101,DESIGN TUTORIAL 1,1,1,90,1,90,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,160,145,1,1,127,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1121,LECTURE 1,160,145,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1221,LECTURE 1,190,192,1,1,300,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2101,DESIGN TUTORIAL 1,24,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,25,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,PACKAGED LECTURE 1,25,8,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,23,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN TUTORIAL 1,50,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,52,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Reserved for [G] in later round
AR4101,DESIGN TUTORIAL 1,42,3,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
