Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,6,8,1,83,599,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE B1,3,18,1,1941,2000,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE B2,6,26,49,2001,5667,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE C,19,2,100,1,300,SCHOOL OF BUSINESS,NUS Students [P]
ACC2002,LECTURE B,5,14,50,900,2000,SCHOOL OF BUSINESS,NUS Students [P, G]
AR1101,DESIGN LECTURE 1,21,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1121,LECTURE 1,20,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1221,LECTURE 1,28,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2101,DESIGN LECTURE 1,27,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2221,LECTURE 1,18,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2511,PACKAGED LECTURE 1,28,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2723,LECTURE 1,54,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3101,DESIGN LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3222,LECTURE 1,14,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4101,DESIGN LECTURE 1,31,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4103,DESIGN LECTURE 1,34,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4322,LECTURE 1,39,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 1,47,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5312,LECTURE 1,26,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5321,LECTURE 1,35,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5610,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS3232,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3234,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3240,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
AS4231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
BSP1004,LECTURE D1,10,19,258,657,2000,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1004,LECTURE D2,4,9,333,1000,1186,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005A,LECTURE D1,1,3,411,746,746,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005A,LECTURE D2,3,8,250,597,851,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005B,LECTURE D3,19,28,4,222,1900,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E1,9,17,1,558,2000,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E2,2,3,236,1000,1786,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A2,6,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
