Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE V1,8,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,20,3,2,1,101,SCHOOL OF BUSINESS,New Students [P]
ACC1002X,LECTURE X1,15,0,0,0,0,SCIENCE,Returning Students [P]
,,18,0,0,0,0,LAW,Returning Students [P]
,,150,48,1,1,3000,ENGINEERING,Returning Students [P]
,,20,3,1,1,88,SCHOOL OF COMPUTING,Returning Students [P]
,,5,4,1,1,900,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCIENCE,New Students [P]
,,50,48,1,1,1558,ENGINEERING,New Students [P]
,,30,21,1,1,1356,SCHOOL OF COMPUTING,New Students [P]
ACC1002X,LECTURE X2,15,0,0,0,0,SCIENCE,Returning Students [P]
,,150,34,1,1,3124,ENGINEERING,Returning Students [P]
,,20,3,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
,,5,3,1,1,900,SCHOOL OF BUSINESS,Returning Students [P]
,,6,10,20,1555,3000,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,10,0,0,0,0,SCIENCE,New Students [P]
,,50,51,1,1,1289,ENGINEERING,New Students [P]
,,30,51,1,721,1358,SCHOOL OF COMPUTING,New Students [P]
,,4,2,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1006,LECTURE J1,25,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC2002,LECTURE K1,20,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,10,3,1,1,3208,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
ACC2002,LECTURE K2,50,6,1,1,401,SCHOOL OF BUSINESS,Returning Students [P]
,,20,8,1,1,501,SCHOOL OF BUSINESS,New Students [P]
ACC4611,SECTIONAL TEACHING K1,35,32,1,1,2000,SCHOOL OF BUSINESS,Returning Students [P]
ACC4612A,SECTIONAL TEACHING L1,17,29,1,1700,3159,SCHOOL OF BUSINESS,Returning Students [P]
ACC4612C,SECTIONAL TEACHING C1,25,11,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
AR1102,DESIGN LECTURE 1,2,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,118,107,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1326,LECTURE 1,124,109,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1721,LECTURE 1,135,107,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1724,LECTURE 1,153,128,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,118,108,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2102,DESIGN LECTURE 1,158,130,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2223,LECTURE 1,155,128,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2225,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2327,LECTURE 1,153,130,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3102,DESIGN LECTURE 1,140,117,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3323,LECTURE 1,136,103,1,1,4750,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3324,LECTURE 1,134,112,1,1,420,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4102,DESIGN LECTURE 1,92,75,1,1,2500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4104,DESIGN LECTURE 1,62,29,1,1,6000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4323,LECTURE 1,55,30,1,1,769,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5011,LECTURE 1,18,18,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5221,LECTURE 1,87,69,1,1,6047,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
BL5233,LECTURE SL1,20,0,0,0,0,SCIENCE,Returning Students [P]
BN4201,LECTURE 1,40,15,1,1,3000,ENGINEERING,Returning Students [P]
BN4202,LECTURE 1,30,15,1,1,1000,ENGINEERING,Returning Students [P]
BN4203,LECTURE 1,30,49,1,3193,6070,ENGINEERING,Returning Students [P]
BN4402,LECTURE 1,60,19,1,1,1500,ENGINEERING,Returning Students [P]
BN4404,LECTURE 1,50,29,1,1,3000,ENGINEERING,Returning Students [P]
BSP1004X,LECTURE Y1,10,4,1,1,123,SCIENCE,Returning Students [P]
,,35,20,1,1,1500,ENGINEERING,Returning Students [P]
,,15,2,200,1,1000,SCHOOL OF COMPUTING,Returning Students [P]
,,5,4,50,1,500,SCHOOL OF BUSINESS,Returning Students [P]
,,2,4,400,1111,3000,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,10,9,1,1,200,SCIENCE,New Students [P]
,,15,0,0,0,0,ENGINEERING,New Students [P]
,,35,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP1005,LECTURE D1,10,10,11,1,500,SCIENCE,Returning Students [P]
,,35,12,1,1,1002,ENGINEERING,Returning Students [P]
,,10,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
,,10,1,500,1,500,SCHOOL OF BUSINESS,Returning Students [P]
,,2,1,250,1,250,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,10,12,1,7,260,SCIENCE,New Students [P]
,,15,10,1,1,679,ENGINEERING,New Students [P]
,,15,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,10,3,1,1,1,SCHOOL OF BUSINESS,New Students [P]
,,2,1,1468,1,1468,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP1005,LECTURE D2,10,7,2,1,500,SCIENCE,Returning Students [P]
,,35,19,1,1,2000,ENGINEERING,Returning Students [P]
,,12,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,20,1,1900,1,1900,SCHOOL OF BUSINESS,Returning Students [P]
,,10,14,11,51,600,SCIENCE,New Students [P]
,,15,13,1,1,1219,ENGINEERING,New Students [P]
,,13,3,1,1,1,SCHOOL OF COMPUTING,New Students [P]
,,20,1,2,1,2,SCHOOL OF BUSINESS,New Students [P]
BSP2001,LECTURE G01,30,7,2,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
,,30,5,1,1,100,SCHOOL OF BUSINESS,New Students [P]
BSP2001,LECTURE G02,30,5,1,1,154,SCHOOL OF BUSINESS,Returning Students [P]
,,30,2,5,1,100,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E1,10,1,800,1,800,SCHOOL OF COMPUTING,Returning Students [P]
,,5,10,100,832,2779,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
BSP2005,LECTURE E2,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,10,9,1,1,2833,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
BSP3511,SEMINAR-STYLE MODULE CLASS 1,18,5,1,1,300,SCHOOL OF BUSINESS,Returning Students [P]
BSP4512,SECTIONAL TEACHING D1,45,43,1,1,1466,SCHOOL OF BUSINESS,Returning Students [P]
CE2112,LECTURE 1,100,92,1,1,1000,ENGINEERING,Returning Students [P]
CE2183,LECTURE 1,165,152,1,1,1400,ENGINEERING,Returning Students [P]
CE3101,PACKAGED LECTURE 1,33,5,1,1,211,ENGINEERING,Returning Students [P]
CE3116,LECTURE 1,95,78,1,1,1000,ENGINEERING,Returning Students [P]
CE3132,LECTURE 1,130,119,1,1,1000,ENGINEERING,Returning Students [P]
CE3155,LECTURE 1,110,82,1,1,1000,ENGINEERING,Returning Students [P]
CE3165,LECTURE 1,110,81,1,1,1000,ENGINEERING,Returning Students [P]
CE4103,LECTURE DSG,13,8,1,1,2,ENGINEERING,Returning Students [P]
CE4104,LECTURE PRJ,100,52,1,1,46,ENGINEERING,Returning Students [P]
CE4247,PACKAGED LECTURE 1,40,2,1,1,1,ENGINEERING,Returning Students [P]
CE4258,LECTURE 1,9,3,1,1,52,ENGINEERING,Returning Students [P]
CE5105,LECTURE 1,5,2,1,1,1000,ENGINEERING,Returning Students [P]
CE5106,LECTURE 1,25,3,500,1,1000,ENGINEERING,Returning Students [P]
