Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
CE4257,LECTURE 1,36,13,1,1,1000,ENGINEERING,Returning Students [P]
CE5101,LECTURE 1,18,0,0,0,0,ENGINEERING,Returning Students [P]
CE5104,LECTURE 1,24,11,1,1,1000,ENGINEERING,Returning Students [P]
CE5108,LECTURE 1,24,16,1,1,1000,ENGINEERING,Returning Students [P]
CE5113,LECTURE 1,18,6,1,1,1700,ENGINEERING,Returning Students [P]
CE5203,LECTURE 1,15,4,1,1,100,ENGINEERING,Returning Students [P]
CE5205,LECTURE 1,18,7,1,1,2000,ENGINEERING,Returning Students [P]
CE5307,LECTURE 1,18,7,1,1,1500,ENGINEERING,Returning Students [P]
CE5312,LECTURE 1,14,1,1,1,1,ENGINEERING,Returning Students [P]
CE5509,LECTURE 1,24,11,1,1,1000,ENGINEERING,Returning Students [P]
CE5510,LECTURE 1,21,5,1,1,500,ENGINEERING,Returning Students [P]
CE5514,LECTURE 1,14,2,100,1,1400,ENGINEERING,Returning Students [P]
CE5610,LECTURE 1,24,1,1,1,1,ENGINEERING,Returning Students [P]
CE5804,LECTURE 1,24,26,1,10,4000,ENGINEERING,Returning Students [P]
CE5806,LECTURE 1,24,16,1,1,1000,ENGINEERING,Returning Students [P]
CG2271,LECTURE 1,16,1,100,1,100,SCHOOL OF COMPUTING,Returning Students [P]
CG3002,LECTURE 1,120,104,1,1,1699,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CG3204L,LECTURE 1,20,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CG3207,LECTURE 1,50,37,1,1,3000,ENGINEERING,Returning Students [P]
,,130,103,1,1,1200,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
CH1101E,LECTURE 1,50,4,1,1,1621,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH2121,LECTURE 1,100,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH2162,LECTURE 1,35,1,11,1,11,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH2243,LECTURE 1,44,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH2274,LECTURE 1,40,4,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH2292A,LECTURE 1,70,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH3221,LECTURE 1,26,7,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH3246,LECTURE 1,35,5,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH3248,LECTURE 1,38,4,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH3254,SEMINAR-STYLE MODULE CLASS 1,42,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH4203,SEMINAR-STYLE MODULE CLASS 1,13,2,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH4204,LECTURE 1,25,2,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH4222,SEMINAR-STYLE MODULE CLASS 1,30,2,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
CH4246,SEMINAR-STYLE MODULE CLASS 1,30,2,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL1101E,LECTURE 1,49,11,1,1,900,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL2101,LECTURE 1,40,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL2121,LECTURE 1,11,1,2,1,2,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL2209,LECTURE 1,40,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL2280,LECTURE 1,120,1,10,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL3201,LECTURE 1,26,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL3204,LECTURE 1,43,2,2,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL3207,LECTURE 1,38,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CL3221,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CM1111,LECTURE SL1,10,4,1,1,100,SCIENCE,Returning Students [P]
CM1131,LECTURE SL1,10,8,1,1,100,SCIENCE,Returning Students [P]
,,10,2,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
CM1417,LECTURE SL1,10,3,1,1,500,SCIENCE,Returning Students [P]
,,10,9,2,1,1000,SCHOOL OF COMPUTING,Returning Students [P]
CM2101,LECTURE SL1,120,140,1,250,2500,SCIENCE,Returning Students [P]
CM2102,LECTURE SL1,120,60,1,1,800,SCIENCE,Returning Students [P]
CM2111,LECTURE SL1,130,140,2,66,900,SCIENCE,Returning Students [P]
CM2121,LECTURE SL1,130,127,1,1,1051,SCIENCE,Returning Students [P]
CM2132,LECTURE SL1,130,137,1,71,1502,SCIENCE,Returning Students [P]
CM2142,LECTURE SL1,120,103,1,1,1000,SCIENCE,Returning Students [P]
CM2161,LECTURE SL1,10,0,0,0,0,SCIENCE,Returning Students [P]
CM2165,LECTURE SL1,10,1,1,1,1,SCIENCE,Returning Students [P]
CM2263,LECTURE SL1,10,0,0,0,0,SCIENCE,Returning Students [P]
CM3221,LECTURE SL1,230,74,1,1,999,SCIENCE,Returning Students [P]
CM3232,LECTURE SL1,180,180,1,1,4000,SCIENCE,Returning Students [P]
CM3242,LECTURE SL1,230,186,1,1,1164,SCIENCE,Returning Students [P]
CM3291,LECTURE SL1,85,85,1,1,1699,SCIENCE,Returning Students [P]
CM3292,LECTURE SL1,100,110,2,800,3801,SCIENCE,Returning Students [P]
CM4211,LECTURE SL1,70,63,1,1,2000,SCIENCE,Returning Students [P]
CM4214,LECTURE SL1,50,42,1,1,2002,SCIENCE,Returning Students [P]
CM4226,LECTURE SL1,70,8,1,1,889,SCIENCE,Returning Students [P]
CM4236,LECTURE SL1,60,22,1,1,2000,SCIENCE,Returning Students [P]
CM4242,LECTURE SL1,60,17,2,1,1963,SCIENCE,Returning Students [P]
CM4261,LECTURE SL1,60,64,1,300,4008,SCIENCE,Returning Students [P]
CM4266,LECTURE SL1,60,5,1,1,223,SCIENCE,Returning Students [P]
CM4271,LECTURE SL1,50,20,1,1,1140,SCIENCE,Returning Students [P]
CN1111E,LECTURE 1,5,0,0,0,0,ENGINEERING,Returning Students [P]
CN2121,LECTURE 1,370,255,1,1,1045,ENGINEERING,Returning Students [P]
CN2121E,LECTURE 1,27,29,1,1,310,ENGINEERING,Returning Students [P]
CN2122,LECTURE 1,370,247,1,1,2200,ENGINEERING,Returning Students [P]
CN2122E,LECTURE 1,28,33,1,1,900,ENGINEERING,Returning Students [P]
CN3108,SECTIONAL TEACHING 1,75,77,1,1,3670,ENGINEERING,Returning Students [P]
CN3108,SECTIONAL TEACHING 2,75,87,1,350,3624,ENGINEERING,Returning Students [P]
CN3108,SECTIONAL TEACHING 3,75,34,1,1,3250,ENGINEERING,Returning Students [P]
CN3108,SECTIONAL TEACHING 4,75,84,1,114,3831,ENGINEERING,Returning Students [P]
CN3109,SECTIONAL TEACHING 1,60,81,1,1000,5113,ENGINEERING,Returning Students [P]
CN3109,SECTIONAL TEACHING 2,60,25,1,1,1500,ENGINEERING,Returning Students [P]
CN3109,SECTIONAL TEACHING 3,60,50,1,1,2995,ENGINEERING,Returning Students [P]
CN3121,LECTURE 1,350,268,1,1,750,ENGINEERING,Returning Students [P]
CN3121E,LECTURE 1,85,68,1,1,1710,ENGINEERING,Returning Students [P]
CN3132,LECTURE 1,350,248,1,1,3000,ENGINEERING,Returning Students [P]
CN3132E,LECTURE 1,85,66,1,1,1800,ENGINEERING,Returning Students [P]
CN3135,LECTURE 1,350,269,1,1,750,ENGINEERING,Returning Students [P]
CN3135E,LECTURE 1,85,54,1,1,1125,ENGINEERING,Returning Students [P]
CN3421,LECTURE 1,350,260,1,1,750,ENGINEERING,Returning Students [P]
CN4118E,LECTURE 1,200,0,0,0,0,ENGINEERING,Returning Students [P]
CN4118R,LECTURE 1,350,188,1,1,5800,ENGINEERING,Returning Students [P]
CN4121,LECTURE 1,350,193,1,1,1888,ENGINEERING,Returning Students [P]
CN4121E,LECTURE 1,200,13,1,1,1000,ENGINEERING,Returning Students [P]
CN4210E,LECTURE 1,35,6,45,1,1200,ENGINEERING,Returning Students [P]
CN4211R,LECTURE 1,80,24,1,1,1000,ENGINEERING,Returning Students [P]
CN4215R,LECTURE 1,150,68,1,1,2011,ENGINEERING,Returning Students [P]
CN4216R,LECTURE 1,48,21,1,1,1001,ENGINEERING,Returning Students [P]
CN4217R,LECTURE 1,80,30,1,1,2713,ENGINEERING,Returning Students [P]
CN4229E,LECTURE 1,35,30,1,1,4000,ENGINEERING,Returning Students [P]
CN4240E,LECTURE 1,35,17,1,1,4000,ENGINEERING,Returning Students [P]
CN4245R,LECTURE 1,80,41,1,1,2000,ENGINEERING,Returning Students [P]
CN4247R,LECTURE 1,70,24,1,1,2000,ENGINEERING,Returning Students [P]
CN4248,LECTURE 1,60,18,1,1,3000,ENGINEERING,Returning Students [P]
CN4249,LECTURE 1,80,21,1,1,1000,ENGINEERING,Returning Students [P]
CN5111,LECTURE 1,70,59,1,1,3619,ENGINEERING,Returning Students [P]
CN5172,LECTURE 1,30,32,1,21,4573,ENGINEERING,Returning Students [P]
CP3201,LECTURE 1,20,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
CS1010,SECTIONAL TEACHING 5,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CS1010,SECTIONAL TEACHING 7,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
CS1010E,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,15,4,1,1,200,ENGINEERING,Returning Students [P]
CS1010E,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,15,3,1,1,6,ENGINEERING,Returning Students [P]
CS1010E,SECTIONAL TEACHING 3,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
