Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE V1,43,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE X1,76,127,100,1001,5050,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE X2,41,74,1,865,4644,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE J1,83,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE K1,85,7,1,1,872,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE K2,77,12,1,1,270,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC4611,SECTIONAL TEACHING J1,27,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC4612A,SECTIONAL TEACHING K1,8,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
AR1102,DESIGN LECTURE 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1326,LECTURE 1,21,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1721,LECTURE 1,31,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2102,DESIGN LECTURE 1,37,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2223,LECTURE 1,44,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2326,LECTURE 1,44,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2724,LECTURE 1,45,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3102,DESIGN LECTURE 1,28,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3323,LECTURE 1,42,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3324,LECTURE 1,33,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4102,DESIGN LECTURE 1,20,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4104,DESIGN LECTURE 1,12,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4142,LECTURE 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4223,LECTURE 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4322,LECTURE 1,10,2,1,1,7570,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 1,10,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5221,LECTURE 1,23,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS3239,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
AS4219,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
BN4201,LECTURE 1,18,1,1,1,1,ENGINEERING,NUS Students [P]
BN4202,LECTURE 1,10,1,1,1,1,ENGINEERING,NUS Students [P]
BN4203,LECTURE 1,41,0,0,0,0,ENGINEERING,NUS Students [P]
BN4402,LECTURE 1,57,1,1,1,1,ENGINEERING,NUS Students [P]
BN4404,LECTURE 1,1,1,1000,1,1000,ENGINEERING,NUS Students [P]
BSP1004X,LECTURE Y1,86,81,1,1,2235,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D1,81,40,1,1,501,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D2,77,32,1,1,1055,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2001,LECTURE G1,81,4,1,1,1001,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2001,LECTURE G2,82,3,1,1,1001,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E1,46,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E2,42,3,1,1,554,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001A,SECTIONAL TEACHING A1,9,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001A,SECTIONAL TEACHING A2,10,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001A,SECTIONAL TEACHING A3,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001B,SECTIONAL TEACHING B4,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001B,SECTIONAL TEACHING B5,12,1,100,1,100,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001B,SECTIONAL TEACHING B6,11,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001C,SECTIONAL TEACHING C7,11,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001C,SECTIONAL TEACHING C8,12,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3513,SECTIONAL TEACHING M1,43,7,1,1,1001,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP4512,SECTIONAL TEACHING D1,28,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
CE2112,LECTURE 1,49,5,1,1,500,ENGINEERING,NUS Students [P]
CE2183,LECTURE 1,4,7,301,425,1060,ENGINEERING,NUS Students [P, G]
CE3116,LECTURE 1,108,1,100,1,100,ENGINEERING,NUS Students [P]
CE3132,LECTURE 1,156,4,1,1,2000,ENGINEERING,NUS Students [P]
CE3155,LECTURE 1,40,4,1,1,10,ENGINEERING,NUS Students [P]
CE3165,LECTURE 1,33,3,1,1,1,ENGINEERING,NUS Students [P]
CE4103,LECTURE Dsg,45,1,1,1,1,ENGINEERING,NUS Students [P]
CE4104,LECTURE Prj,28,5,1,1,1,ENGINEERING,NUS Students [P]
CE4258,LECTURE 1,28,0,0,0,0,ENGINEERING,NUS Students [P]
CE5105,LECTURE 1,19,0,0,0,0,ENGINEERING,NUS Students [P]
CE5106,LECTURE 1,26,0,0,0,0,ENGINEERING,NUS Students [P]
CE5107,LECTURE 1,19,2,1,1,100,ENGINEERING,NUS Students [P]
CE5204,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
CE5207,LECTURE 1,18,1,1,1,1,ENGINEERING,NUS Students [P]
CE5308,LECTURE 1,17,0,0,0,0,ENGINEERING,NUS Students [P]
CE5313,LECTURE 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
CE5513,LECTURE 1,21,0,0,0,0,ENGINEERING,NUS Students [P]
CE5603,LECTURE 1,6,3,1000,1,5000,ENGINEERING,NUS Students [P]
CE5604,LECTURE 1,6,0,0,0,0,ENGINEERING,NUS Students [P]
CE5611,LECTURE 1,17,0,0,0,0,ENGINEERING,NUS Students [P]
CE5805,LECTURE 1,16,1,101,1,101,ENGINEERING,NUS Students [P]
CE5881,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
CE5883A,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
CH1101E,LECTURE 1,49,45,1,1,1450,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2141,LECTURE 1,69,22,1,1,1200,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2161,SECTIONAL TEACHING 1,12,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH2223,LECTURE 1,40,17,1,1,785,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2244,LECTURE 1,32,11,1,1,1500,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2273,LECTURE 1,26,13,1,1,2000,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2291,LECTURE 1,68,23,1,1,3695,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH3225,LECTURE 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH3226,LECTURE 1,36,9,1,1,1169,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH3228,LECTURE 1,11,11,1,1,2589,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH4224,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4243,SEMINAR-STYLE MODULE CLASS 1,9,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4244,SEMINAR-STYLE MODULE CLASS 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4281,SEMINAR-STYLE MODULE CLASS 1,19,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CL1101E,LECTURE 1,139,52,1,1,1265,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL2102,LECTURE 1,16,5,1,1,635,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL2103,LECTURE 1,36,33,1,1,1794,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL2241,LECTURE 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CL2281,LECTURE 1,33,36,1,95,1970,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL2291,LECTURE 1,45,6,1,1,200,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL3202,LECTURE 1,34,4,1,1,100,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL3203,LECTURE 1,35,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL3281,LECTURE 1,24,2,99,1,100,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CM1121,LECTURE SL1,14,17,1,1,1264,SCIENCE,NUS Students [P]
