Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE B1,1,13,100,3853,3853,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE B2,1,8,631,3000,3000,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE C,1,3,189,2000,2000,SCHOOL OF BUSINESS,NUS Students [P]
AR1101,DESIGN TUTORIAL 1,13,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1121,LECTURE 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2101,DESIGN TUTORIAL 1,12,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2221,LECTURE 1,13,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2511,PACKAGED LECTURE 1,11,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2723,LECTURE 1,11,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3101,DESIGN TUTORIAL 1,33,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3222,LECTURE 1,2,2,923,1,1302,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P, G]
AR4101,DESIGN TUTORIAL 1,42,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4103,DESIGN TUTORIAL 1,18,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4222,LECTURE 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4322,LECTURE 1,16,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4323,LECTURE 1,49,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 1,49,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5312,LECTURE 1,14,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5321,LECTURE 1,50,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5610,LECTURE 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS3234,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
BCP4002A,SECTIONAL TEACHING A,433,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BCP4002B,SECTIONAL TEACHING B,497,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001A,SECTIONAL TEACHING A,485,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001B,SECTIONAL TEACHING B,498,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001C,SECTIONAL TEACHING C,500,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BN2101,LECTURE 1,69,0,0,0,0,ENGINEERING,NUS Students [P]
BN3101,LECTURE 1,75,0,0,0,0,ENGINEERING,NUS Students [P]
BN3201,LECTURE 1,70,0,0,0,0,ENGINEERING,NUS Students [P]
BN3301,LECTURE 1,69,0,0,0,0,ENGINEERING,NUS Students [P]
BN3501,LECTURE 1,70,0,0,0,0,ENGINEERING,NUS Students [P]
BN4406,LECTURE 1,12,2,500,1,3000,ENGINEERING,NUS Students [P]
BSP1004,LECTURE D2,2,16,20,1387,2100,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D2,1,8,1,4438,4438,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E2,3,2,1,1,201,SCHOOL OF BUSINESS,NUS Students [P, G]
CE2134,LECTURE 1,87,0,0,0,0,ENGINEERING,NUS Students [P]
CE2155,LECTURE 1,144,2,1,1,1,ENGINEERING,NUS Students [P]
CE2184,LECTURE 1,93,2,1,1,1,ENGINEERING,NUS Students [P, G]
CE2407,LECTURE 1,113,2,1,1,1,ENGINEERING,NUS Students [P, G]
CE2409,LECTURE 1,225,1,1,1,1,ENGINEERING,NUS Students [P, G]
CE3101,LECTURE 1,6,2,1,1,1,ENGINEERING,NUS Students [P, G]
CE3115,LECTURE 1,90,4,1,1,1,ENGINEERING,NUS Students [P]
CE3121,LECTURE 1,86,2,1,1,1,ENGINEERING,NUS Students [P]
CE3166,LECTURE 1,90,0,0,0,0,ENGINEERING,NUS Students [P]
CE4103,LECTURE 1,84,3,1,1,10,ENGINEERING,NUS Students [P]
CE4104,LECTURE Proj,72,1,1,1,1,ENGINEERING,NUS Students [P]
CE4257,LECTURE 1,40,0,0,0,0,ENGINEERING,NUS Students [P]
CE5101,LECTURE 1,12,0,0,0,0,ENGINEERING,NUS Students [P]
CE5104,LECTURE 1,14,2,50,1,5954,ENGINEERING,NUS Students [P]
CE5105,LECTURE 1,14,1,1,1,1,ENGINEERING,NUS Students [P]
CE5108,LECTURE 1,5,1,100,1,100,ENGINEERING,NUS Students [P]
CE5203,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
CE5205,LECTURE 1,6,1,10,1,10,ENGINEERING,NUS Students [P]
CE5307,LECTURE 1,10,0,0,0,0,ENGINEERING,NUS Students [P]
CE5308,LECTURE 1,15,0,0,0,0,ENGINEERING,NUS Students [P]
CE5510,LECTURE 1,20,0,0,0,0,ENGINEERING,NUS Students [P]
CE5514,LECTURE 1,15,0,0,0,0,ENGINEERING,NUS Students [P]
CE5610,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
CE5703,LECTURE 1,6,0,0,0,0,ENGINEERING,NUS Students [P]
CE5712,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
CE5714,LECTURE 1,12,1,1,1,1,ENGINEERING,NUS Students [P]
CE5804,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
CH1101E,LECTURE 1,65,13,1,1,1000,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2121,LECTURE 1,47,2,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2162,LECTURE 1,17,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH2223,LECTURE 1,16,2,1,1,2,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2245,LECTURE 1,34,2,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2252,LECTURE 1,25,4,1,1,464,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2274,LECTURE 1,45,4,1,1,249,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH2295,LECTURE 1,88,1,1,1,1,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH3221,LECTURE 1,15,2,1,1,563,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH3222,LECTURE 1,32,2,1,1,220,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH3247,LECTURE 1,46,2,1,1,10,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH3254,LECTURE 1,23,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CH4203,SEMINAR-STYLE MODULE CLASS 1,22,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4223,SEMINAR-STYLE MODULE CLASS 1,28,1,10,1,10,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4226,SEMINAR-STYLE MODULE CLASS 1,24,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4243,SEMINAR-STYLE MODULE CLASS 1,26,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4246,SEMINAR-STYLE MODULE CLASS 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4247,SEMINAR-STYLE MODULE CLASS 1,21,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CH4281,SEMINAR-STYLE MODULE CLASS 1,17,2,1,1,100,ARTS & SOCIAL SCIENCES,NUS Students [P]
CL1101E,LECTURE 1,155,15,1,1,500,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL2102,LECTURE 1,26,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL2121,LECTURE 1,14,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CL2209,LECTURE 1,24,5,1,1,100,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL2280,LECTURE 1,13,7,1,1,1000,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL3203,LECTURE 1,49,2,10,1,103,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL3204,LECTURE 1,49,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL3207,LECTURE 1,28,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
CL3221,LECTURE 1,11,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
CM1101,LECTURE SL1,95,1,2559,1,2559,SCIENCE,NUS Students [P]
CM1417,LECTURE SL1,20,1,1,1,1,SCIENCE,NUS Students [P, G]
CM1501,LECTURE 1,8,3,1,1,502,SCIENCE,NUS Students [P]
CM2101,LECTURE SL1,22,0,0,0,0,SCIENCE,NUS Students [P]
CM2102,LECTURE SL1,72,0,0,0,0,SCIENCE,NUS Students [P]
CM2111,LECTURE SL1,45,0,0,0,0,SCIENCE,NUS Students [P]
CM2121,LECTURE SL1,3,2,1700,1,1907,SCIENCE,NUS Students [P]
CM2132,LECTURE SL1,23,1,1,1,1,SCIENCE,NUS Students [P]
CM2161,LECTURE SL1,25,0,0,0,0,SCIENCE,NUS Students [P]
CM2165,LECTURE SL1,10,0,0,0,0,SCIENCE,NUS Students [P]
CM2263,LECTURE SL1,10,0,0,0,0,SCIENCE,NUS Students [P]
CM3221,LECTURE SL1,142,2,1,1,1,SCIENCE,NUS Students [P]
CM3232,LECTURE SL1,12,3,1,1,1,SCIENCE,NUS Students [P]
CM3242,LECTURE SL1,18,1,1,1,1,SCIENCE,NUS Students [P]
CM3291,LECTURE SL1,25,0,0,0,0,SCIENCE,NUS Students [P]
CM4211,LECTURE SL1,17,3,1,1,10,SCIENCE,NUS Students [P]
CM4214,LECTURE SL1,5,0,0,0,0,SCIENCE,NUS Students [P]
CM4222,LECTURE SL1,50,1,100,1,100,SCIENCE,NUS Students [P]
CM4226,LECTURE SL1,51,1,12,1,12,SCIENCE,NUS Students [P]
CM4242,LECTURE SL1,25,0,0,0,0,SCIENCE,NUS Students [P]
CM4266,LECTURE SL1,51,0,0,0,0,SCIENCE,NUS Students [P]
CM4271,LECTURE SL1,33,2,2000,1,3000,SCIENCE,NUS Students [P]
CN1111E,LECTURE 1,19,0,0,0,0,ENGINEERING,NUS Students [P]
CN2121,LECTURE 1,11,2,1,1,10,ENGINEERING,NUS Students [P, G]
CN2121E,LECTURE 1,37,0,0,0,0,ENGINEERING,NUS Students [P]
CN2122,LECTURE 1,11,1,1,1,1,ENGINEERING,NUS Students [P, G]
CN2122E,LECTURE 1,33,0,0,0,0,ENGINEERING,NUS Students [P]
CN3108,SECTIONAL TEACHING 1,29,0,0,0,0,ENGINEERING,NUS Students [P]
CN3108,SECTIONAL TEACHING 2,27,2,1,1,2,ENGINEERING,NUS Students [P]
CN3108,SECTIONAL TEACHING 4,25,0,0,0,0,ENGINEERING,NUS Students [P]
CN3109,SECTIONAL TEACHING 1,7,1,500,1,500,ENGINEERING,NUS Students [P]
CN3109,SECTIONAL TEACHING 3,9,0,0,0,0,ENGINEERING,NUS Students [P]
CN3121,LECTURE 1,96,2,1,1,10,ENGINEERING,NUS Students [P]
CN3121E,LECTURE 1,12,0,0,0,0,ENGINEERING,NUS Students [P]
CN3132,LECTURE 1,100,1,1,1,1,ENGINEERING,NUS Students [P]
CN3132E,LECTURE 1,24,1,1,1,1,ENGINEERING,NUS Students [P]
CN3421,LECTURE 1,98,1,1,1,1,ENGINEERING,NUS Students [P]
CN4111,LECTURE 1,97,4,1,1,1000,ENGINEERING,NUS Students [P]
CN4111E,LECTURE 1,67,0,0,0,0,ENGINEERING,NUS Students [P]
CN4118,LECTURE 1,17,0,0,0,0,ENGINEERING,NUS Students [P]
CN4118R,LECTURE 1,18,0,0,0,0,ENGINEERING,NUS Students [P]
CN4211E,LECTURE 1,25,0,0,0,0,ENGINEERING,NUS Students [P]
CN4211R,LECTURE 1,43,1,1,1,1,ENGINEERING,NUS Students [P]
CN4215R,LECTURE 1,25,1,1,1,1,ENGINEERING,NUS Students [P]
CN4216R,LECTURE 1,13,0,0,0,0,ENGINEERING,NUS Students [P]
CN4217R,LECTURE 1,56,1,1,1,1,ENGINEERING,NUS Students [P]
CN4245R,LECTURE 1,56,0,0,0,0,ENGINEERING,NUS Students [P]
CN4247R,LECTURE 1,35,0,0,0,0,ENGINEERING,NUS Students [P]
CN5172,LECTURE L,14,0,0,0,0,ENGINEERING,NUS Students [P]
CN5191,LECTURE 1,3,0,0,0,0,ENGINEERING,NUS Students [P]
CN5251,LECTURE 1,39,0,0,0,0,ENGINEERING,NUS Students [P]
CS1101,SECTIONAL TEACHING 2,1,2,1,648,648,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1101,SECTIONAL TEACHING 3,1,1,303,1,303,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1101,SECTIONAL TEACHING 4,2,3,4,324,1500,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1101,SECTIONAL TEACHING 5,1,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1101,SECTIONAL TEACHING 8,1,1,50,1,50,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1101C,LECTURE 2,1,3,10,2000,2000,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1102,LECTURE 1,78,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1102C,LECTURE 1,14,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1105,LECTURE 1,7,7,1,1,248,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1231,SECTIONAL TEACHING 1,34,5,1,1,1531,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1280,LECTURE 1,104,9,1,1,50,SCHOOL OF COMPUTING,NUS Students [P, G]
CS1281,LECTURE 1,119,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2100,LECTURE 1,53,1,10,1,10,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2102,LECTURE 1,63,2,1,1,100,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2102,LECTURE 2,63,3,10,1,100,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2102S,LECTURE 2,3,1,500,1,500,SCHOOL OF COMPUTING,NUS Students [P]
CS2103,LECTURE 1,30,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2103,LECTURE 2,85,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2105,LECTURE 1,37,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2105,LECTURE 2,12,2,1,1,100,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2106,LECTURE 1,49,6,1,1,1000,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2250,LECTURE 1,83,2,1,1,50,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2261,LECTURE 1,60,2,1,1,10,SCHOOL OF COMPUTING,NUS Students [P, G]
CS2271,LECTURE 1,18,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS3103,LECTURE 1,39,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3212,LECTURE 1,45,4,5,1,55,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3214,LECTURE 1,42,2,1,1,100,SCHOOL OF COMPUTING,NUS Students [P]
CS3215,LECTURE 1,39,2,5,1,1001,SCHOOL OF COMPUTING,NUS Students [P]
CS3220,LECTURE 1,44,4,50,1,2890,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3230,LECTURE 1,64,2,100,1,1500,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3234,LECTURE 1,28,1,100,1,100,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3241,LECTURE 1,23,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3243,LECTURE 1,100,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3251,LECTURE 1,12,4,22,1,2610,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3266,LECTURE 1,54,4,1,1,647,SCHOOL OF COMPUTING,NUS Students [P, G]
CS3361,LECTURE 1,24,4,1,1,700,SCHOOL OF COMPUTING,NUS Students [P]
CS4211,LECTURE 1,25,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS4221,LECTURE 1,24,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
CS4237,LECTURE 1,34,1,5,1,5,SCHOOL OF COMPUTING,NUS Students [P]
CS4256,LECTURE 1,52,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [P]
CS4273,LECTURE 1,14,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS4274,LECTURE 1,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS4345,LECTURE 1,12,2,1,1,100,SCHOOL OF COMPUTING,NUS Students [P]
CS5208,LECTURE 1,9,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5219,LECTURE 1,5,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5223,LECTURE 1,4,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5229,LECTURE 1,2,1,200,1,200,SCHOOL OF COMPUTING,NUS Students [P]
CS5230,LECTURE 1,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5238,LECTURE 1,7,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5240,LECTURE 1,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5321,LECTURE 1,6,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5340,LECTURE 1,3,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CS5342,LECTURE 1,10,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [P]
CZ1102,LECTURE SL1,134,6,1,1,200,SCIENCE,NUS Students [P, G]
DSC3201,SECTIONAL TEACHING A2,2,2,1,1,100,SCHOOL OF BUSINESS,NUS Students [P, G]
DSC3222J,SECTIONAL TEACHING G1,3,1,950,1,950,SCHOOL OF BUSINESS,NUS Students [P, G]
EC1101E,LECTURE 1,36,8,1,1,500,ARTS & SOCIAL SCIENCES,NUS Students [P]
EC1101E,LECTURE 2,162,3,1,1,200,ARTS & SOCIAL SCIENCES,NUS Students [P]
EC1301,LECTURE 1,6,21,100,747,3250,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
EC1301,LECTURE 2,67,26,1,1,2000,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
EC2102,LECTURE 1,63,16,1,1,1145,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
EC3396,SEMINAR-STYLE MODULE CLASS 1,12,1,20,1,20,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
EC4396,SEMINAR-STYLE MODULE CLASS 1,28,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
EE2001,LECTURE L1,3,0,0,0,0,ENGINEERING,NUS Students [P]
EE2001,LECTURE L2,75,0,0,0,0,ENGINEERING,NUS Students [P]
EE2001,LECTURE L3,28,5,1,1,1000,ENGINEERING,NUS Students [P]
EE2004,LECTURE ALL,40,1,1,1,1,ENGINEERING,NUS Students [P, G]
EE2004E,LECTURE 1,191,1,1,1,1,ENGINEERING,NUS Students [P]
EE2005,LECTURE ALL,5,0,0,0,0,ENGINEERING,NUS Students [P, G]
EE2009,LECTURE ALL,23,0,0,0,0,ENGINEERING,NUS Students [P]
EE2009E,LECTURE 1,124,0,0,0,0,ENGINEERING,NUS Students [P]
EE2010,PACKAGED LECTURE 1,6,0,0,0,0,ENGINEERING,NUS Students [P, G]
EE2010,PACKAGED LECTURE 2,11,0,0,0,0,ENGINEERING,NUS Students [P, G]
EE2010,PACKAGED LECTURE 3,13,0,0,0,0,ENGINEERING,NUS Students [P, G]
EE2010,PACKAGED LECTURE 4,11,1,100,1,100,ENGINEERING,NUS Students [P, G]
EE2010E,LECTURE 1,224,1,1,1,1,ENGINEERING,NUS Students [P]
