Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,45,1,10,1,10,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE B1,57,89,250,1129,4239,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE B2,78,123,1,971,6277,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE C,21,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
ACC2002,LECTURE B1,32,24,1,1,1572,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE B2,24,18,1,1,1001,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC3606,SECTIONAL TEACHING A1,2,2,959,1,1077,SCHOOL OF BUSINESS,NUS Students [P]
ACC3613,SECTIONAL TEACHING D1,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3613,SECTIONAL TEACHING D2,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3613,SECTIONAL TEACHING D3,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3615,SECTIONAL TEACHING E1,3,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3615,SECTIONAL TEACHING E2,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3615,SECTIONAL TEACHING E3,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
AR1102,DESIGN TUTORIAL 1,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1326,LECTURE 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1721,LECTURE 1,7,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2102,DESIGN TUTORIAL 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2223,LECTURE 1,23,33,30,853,1872,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P, G]
AR2326,LECTURE 1,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2724,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3102,DESIGN TUTORIAL 1,22,3,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3323,LECTURE 1,48,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3324,LECTURE 1,25,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4102,DESIGN TUTORIAL 1,19,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4104,DESIGN TUTORIAL 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4323,LECTURE 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 2,39,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
BCP4002A,SECTIONAL TEACHING A,492,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BCP4002B,SECTIONAL TEACHING B,498,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001A,SECTIONAL TEACHING A,498,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001B,SECTIONAL TEACHING B,499,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001C,SECTIONAL TEACHING C,499,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BN4202,LECTURE 1,25,0,0,0,0,ENGINEERING,NUS Students [P]
BN4402,LECTURE 1,15,0,0,0,0,ENGINEERING,NUS Students [P]
BN4404,LECTURE 1,10,1,1,1,1,ENGINEERING,NUS Students [P]
BSP1004,LECTURE D1,30,43,1,748,3923,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1004,LECTURE D2,42,73,50,537,3000,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE F1,33,60,16,768,3200,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE F2,47,66,97,450,3011,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2001,LECTURE A1,103,8,1,1,1584,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E1,20,9,1,1,502,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E2,5,8,100,800,1800,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A10,8,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BSP3001,SECTIONAL TEACHING A2,7,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BSP3001,SECTIONAL TEACHING A4,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BSP3001,SECTIONAL TEACHING A5,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BSP3001,SECTIONAL TEACHING A6,7,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BSP3001,SECTIONAL TEACHING A7,13,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BSP3001,SECTIONAL TEACHING A9,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BU4180,LECTURE 1,13,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
BU4280,LECTURE 1,11,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
BU4491,LECTURE 1,50,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
CE2112,LECTURE 1,114,3,1,1,700,ENGINEERING,NUS Students [P, G]
CE2164,LECTURE 1,89,1,1,1,1,ENGINEERING,NUS Students [P]
CE2183,LECTURE 1,102,4,1,1,550,ENGINEERING,NUS Students [P, G]
CE3116,LECTURE 1,60,1,1,1,1,ENGINEERING,NUS Students [P]
CE3132,LECTURE 1,128,0,0,0,0,ENGINEERING,NUS Students [P]
CE3155,LECTURE 1,108,0,0,0,0,ENGINEERING,NUS Students [P]
CE3166,LECTURE 1,101,1,1,1,1,ENGINEERING,NUS Students [P]
