Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,17,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE B1,25,0,0,0,0,SCIENCE,Returning Students and 
,,7,15,1,2845,5900,ENGINEERING,Returning Students and 
,,2,3,286,292,458,SCHOOL OF COMPUTING,Returning Students and 
,,12,3,1,1,59,SCHOOL OF BUSINESS,Returning Students and 
,,3,8,2,838,1100,SCHOOL OF BUSINESS,NUS Students [G]
ACC1002X,LECTURE B2,25,0,0,0,0,SCIENCE,Returning Students and 
,,19,25,522,816,5222,ENGINEERING,Returning Students and 
,,28,22,1,1,1220,SCHOOL OF COMPUTING,Returning Students and 
,,27,5,1,1,301,SCHOOL OF BUSINESS,Returning Students and 
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,3,6,1,767,1003,SCHOOL OF BUSINESS,NUS Students [G]
ACC1006,LECTURE C1,10,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC1006,LECTURE C2,83,1,50,1,50,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE B1,6,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,1,1,1000,1,1000,SCHOOL OF BUSINESS,Returning Students and 
,,8,2,52,1,237,SCHOOL OF BUSINESS,NUS Students [G]
ACC2002,LECTURE B2,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,68,3,1,1,100,SCHOOL OF BUSINESS,Returning Students and 
,,15,1,50,1,50,SCHOOL OF BUSINESS,NUS Students [G]
ACC4611,SECTIONAL TEACHING J1,13,1,10,1,10,SCHOOL OF BUSINESS,Returning Students and 
AR1102,DESIGN TUTORIAL 1,16,9,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1326,LECTURE 1,15,10,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1721,LECTURE 1,29,10,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2102,DESIGN TUTORIAL 1,23,9,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2223,LECTURE 1,28,9,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2326,LECTURE 1,27,10,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2724,LECTURE 1,54,5,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3102,DESIGN TUTORIAL 1,24,12,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3323,LECTURE 1,35,9,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3324,LECTURE 1,25,11,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4102,DESIGN TUTORIAL 1,26,4,1,1,6095,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4104,DESIGN TUTORIAL 1,25,7,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4223,LECTURE 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5011,LECTURE 2,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5221,LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AS2213,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS3231,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS4231,SEMINAR-STYLE MODULE CLASS 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
BHT4001A,SECTIONAL TEACHING A1,286,2,1,1,1000,SCHOOL OF BUSINESS,Returning Students and 
BHT4001B,SECTIONAL TEACHING A1,286,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BHT4001C,SECTIONAL TEACHING A1,292,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BN4202,LECTURE 1,21,2,1,1,1,ENGINEERING,Returning Students and 
BN4402,LECTURE 1,10,4,1,1,4000,ENGINEERING,Returning Students and 
BSP1004,LECTURE D1,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,2,1,800,1,800,SCHOOL OF BUSINESS,NUS Students [G]
BSP1004,LECTURE D2,2,3,316,450,553,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE F1,2,8,402,1147,3000,ENGINEERING,Returning Students and 
,,9,9,100,1,1000,SCHOOL OF BUSINESS,Returning Students and 
,,3,4,88,253,796,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE F2,83,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,9,13,120,600,994,SCHOOL OF BUSINESS,NUS Students [G]
BSP2001,LECTURE A1,7,2,1,1,10,SCHOOL OF BUSINESS,Returning Students and 
,,4,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
