Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,17,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,2,2,312,1,500,SCHOOL OF BUSINESS,New Students [P]
ACC1002X,LECTURE B1,15,0,0,0,0,SCIENCE,Returning Students [P]
,,13,7,1,1,501,ENGINEERING,Returning Students [P]
,,2,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCIENCE,New Students [P]
ACC1002X,LECTURE B2,15,0,0,0,0,SCIENCE,Returning Students [P]
,,28,11,1,1,2000,ENGINEERING,Returning Students [P]
,,29,1,200,1,200,SCHOOL OF COMPUTING,Returning Students [P]
,,28,1,200,1,200,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCIENCE,New Students [P]
,,2,1,300,1,300,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1006,LECTURE C1,7,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,3,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC1006,LECTURE C2,65,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,19,1,1,1,1,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B1,6,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
,,1,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,1,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B2,3,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
,,53,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,3,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,15,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC4611,SECTIONAL TEACHING J1,14,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
AR1102,DESIGN TUTORIAL 1,16,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1326,LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1721,LECTURE 1,30,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2102,DESIGN TUTORIAL 1,21,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2223,LECTURE 1,26,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2326,LECTURE 1,30,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2724,LECTURE 1,57,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3102,DESIGN TUTORIAL 1,35,11,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3323,LECTURE 1,46,11,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3324,LECTURE 1,36,11,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4102,DESIGN TUTORIAL 1,19,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4104,DESIGN TUTORIAL 1,19,4,1,1,6000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4223,LECTURE 1,3,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,3,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5011,LECTURE 2,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5221,LECTURE 1,25,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AS2213,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
AS4231,SEMINAR-STYLE MODULE CLASS 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BHT4001A,SECTIONAL TEACHING A1,288,2,1,1,5,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001B,SECTIONAL TEACHING A1,288,2,1,1,5,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001C,SECTIONAL TEACHING A1,293,1,5,1,5,SCHOOL OF BUSINESS,Returning Students [P]
BN4202,LECTURE 1,21,0,0,0,0,ENGINEERING,Returning Students [P]
BN4402,LECTURE 1,12,3,1,1,200,ENGINEERING,Returning Students [P]
BSP1004,LECTURE D1,1,3,165,666,666,ENGINEERING,New Students [P]
,,1,1,30,1,30,SCHOOL OF COMPUTING,New Students [P]
BSP1004,LECTURE D2,1,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP1005,LECTURE F1,3,1,2000,1,2000,ENGINEERING,Returning Students [P]
,,9,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BSP1005,LECTURE F2,72,1,1024,1,1024,SCHOOL OF BUSINESS,Returning Students [P]
,,1,1,80,1,80,SCIENCE,New Students [P]
,,13,1,7,1,7,SCHOOL OF BUSINESS,New Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP2001,LECTURE A1,8,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
BSP2001,LECTURE A2,37,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,9,1,1,1,1,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E1,2,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,8,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,1,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,8,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E2,3,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,67,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,1,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,21,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
BSP3001A,SECTIONAL TEACHING A1,4,2,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001A,SECTIONAL TEACHING A2,3,1,556,1,556,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001A,SECTIONAL TEACHING A3,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001B,SECTIONAL TEACHING A6,6,1,100,1,100,SCHOOL OF BUSINESS,Returning Students [P]
BSP3511,SEMINAR-STYLE MODULE CLASS E1,17,2,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
BST3002C,SECTIONAL TEACHING C1,12,4,1,1,157,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
BST3002C,SECTIONAL TEACHING C2,25,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
CE2112,LECTURE 1,21,1,1,1,1,ENGINEERING,Returning Students [P]
,,34,0,0,0,0,ENGINEERING,New Students [P]
CE2183,LECTURE 1,58,2,1,1,1,ENGINEERING,Returning Students [P]
,,34,0,0,0,0,ENGINEERING,New Students [P]
CE3116,LECTURE 1,36,0,0,0,0,ENGINEERING,Returning Students [P]
,,10,0,0,0,0,ENGINEERING,New Students [P]
CE3132,LECTURE 1,26,4,1,1,100,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
