Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,5,6,28,350,600,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE B2,4,21,149,1972,3920,SCHOOL OF BUSINESS,NUS Students [P, G]
AR1101,DESIGN LECTURE 1,18,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1121,LECTURE 1,17,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1221,LECTURE 1,9,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2101,DESIGN LECTURE 1,38,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2221,LECTURE 1,43,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2511,LECTURE 1,56,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2723,LECTURE 1,43,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3101,DESIGN LECTURE 1,27,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3222,LECTURE 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4101,DESIGN LECTURE 1,34,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4103,DESIGN LECTURE 1,29,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4323,LECTURE 1,35,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 1,56,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5312,LECTURE 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5321,LECTURE 1,57,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS3231,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
BN3402,LECTURE 1,1,2,2843,2844,2844,ENGINEERING,NUS Students [P]
BN4301,LECTURE 1,19,0,0,0,0,ENGINEERING,NUS Students [P]
BN4403,LECTURE 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
BN4406,LECTURE 1,42,1,694,1,694,ENGINEERING,NUS Students [P]
BSP1005,LECTURE D2,1,3,303,748,748,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A1,8,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A2,15,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A3,15,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A4,19,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A5,33,1,2,1,2,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A6,26,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A7,33,1,2,1,2,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3001,SECTIONAL TEACHING A8,19,3,300,1,300,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3513,SECTIONAL TEACHING B1,40,3,1,1,1,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP4513,SECTIONAL TEACHING C1,19,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
CE2134,LECTURE 1,29,0,0,0,0,ENGINEERING,NUS Students [P]
CE2155,LECTURE 1,46,1,1,1,1,ENGINEERING,NUS Students [P]
CE2184,LECTURE 1,34,1,1,1,1,ENGINEERING,NUS Students [P, G]
CE2407,LECTURE 1,25,1,1,1,1,ENGINEERING,NUS Students [P, G]
CE2409,LECTURE 1,169,1,1,1,1,ENGINEERING,NUS Students [P, G]
CE3101,LECTURE 1,1,1,11,1,11,ENGINEERING,NUS Students [P, G]
CE3115,LECTURE 1,30,1,10,1,10,ENGINEERING,NUS Students [P]
CE3121,LECTURE 1,41,1,1,1,1,ENGINEERING,NUS Students [P]
CE3166,LECTURE 1,59,0,0,0,0,ENGINEERING,NUS Students [P]
CE4103,LECTURE Dsg,18,1,1,1,1,ENGINEERING,NUS Students [P]
CE4104,LECTURE Prj,16,2,1,1,1,ENGINEERING,NUS Students [P]
CE4257,LECTURE 1,22,0,0,0,0,ENGINEERING,NUS Students [P]
CE5101,LECTURE 1,18,0,0,0,0,ENGINEERING,NUS Students [P]
CE5104,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
CE5108,LECTURE 1,7,2,10,1,1000,ENGINEERING,NUS Students [P]
CE5113,LECTURE 1,5,1,10,1,10,ENGINEERING,NUS Students [P]
CE5203,LECTURE 1,10,0,0,0,0,ENGINEERING,NUS Students [P]
CE5205,LECTURE 1,11,1,5,1,5,ENGINEERING,NUS Students [P]
CE5307,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
