Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B1,5,22,10,1410,2923,SCHOOL OF BUSINESS,Returning Students [P] and 
,,1,2,579,747,747,ENGINEERING,New Students [P]
ACC1002X,LECTURE B2,11,27,95,1291,2001,SCHOOL OF BUSINESS,Returning Students [P] and 
,,11,6,197,1,747,ENGINEERING,New Students [P]
,,3,3,1,1,297,SCHOOL OF BUSINESS,New Students [P]
ACC1006,LECTURE C,6,2,1,1,9,SCHOOL OF BUSINESS,Returning Students [P]
,,15,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B,1,4,103,773,773,SCHOOL OF BUSINESS,Returning Students [P] and 
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
AR1101,DESIGN LECTURE 1,21,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1121,LECTURE 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1221,LECTURE 1,28,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2101,DESIGN LECTURE 1,31,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,21,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,PACKAGED LECTURE 1,30,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,57,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,14,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN LECTURE 1,27,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4103,DESIGN LECTURE 1,29,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4322,LECTURE 1,34,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5011,LECTURE 1,41,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5312,LECTURE 1,22,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5321,LECTURE 1,26,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5610,LECTURE 1,17,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AS3232,SEMINAR-STYLE MODULE CLASS 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and 
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and 
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
AS3240,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS4231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BN4301,LECTURE 1,1,1,3000,1,3000,ENGINEERING,Returning Students [P]
BN4406,LECTURE 1,1,4,1000,3001,3001,ENGINEERING,Returning Students [P]
BSP1004,LECTURE D1,2,5,3,870,1087,SCHOOL OF BUSINESS,Returning Students [P] and 
,,1,2,295,491,491,SCIENCE,New Students [P]
,,1,2,150,250,250,ENGINEERING,New Students [P]
,,10,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,10,15,300,450,647,SCHOOL OF BUSINESS,New Students [P]
BSP1004,LECTURE D2,3,11,21,869,1550,SCHOOL OF BUSINESS,Returning Students [P] and 
,,4,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
BSP1005A,LECTURE D1,5,9,240,497,849,SCHOOL OF BUSINESS,Returning Students [P] and 
,,1,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
BSP1005A,LECTURE D2,23,29,100,250,2000,SCHOOL OF BUSINESS,Returning Students [P] and 
,,5,2,10,1,10,SCHOOL OF COMPUTING,New Students [P]
BSP1005B,LECTURE D3,4,8,250,350,400,SCHOOL OF BUSINESS,Returning Students [P] and 
,,2,5,250,464,597,SCIENCE,New Students [P]
,,30,12,1,1,596,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E1,9,1,300,1,300,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E2,1,2,838,1250,1250,SCHOOL OF BUSINESS,Returning Students [P] and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
BSP3001,SECTIONAL TEACHING A2,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A6,44,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
CE2134,LECTURE 1,50,0,0,0,0,ENGINEERING,New Students [P]
