Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE B1,20,51,1,1594,6489,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE B2,31,69,10,1490,4224,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1006,LECTURE C1,20,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC1006,LECTURE C2,38,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
ACC2002,LECTURE B1,48,21,1,1,1233,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE B2,71,15,1,1,805,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC4611,SECTIONAL TEACHING J1,19,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
AR1102,DESIGN LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1326,LECTURE 1,32,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1721,LECTURE 1,45,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2102,DESIGN LECTURE 1,44,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2223,LECTURE 1,40,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2326,LECTURE 1,28,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2724,LECTURE 1,32,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3102,DESIGN LECTURE 1,27,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3323,LECTURE 1,25,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3324,LECTURE 1,24,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4102,DESIGN LECTURE 1,21,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
