Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE B1,25,0,0,0,0,SCIENCE,Returning Students and 
,,75,70,1,1,6400,ENGINEERING,Returning Students and 
,,5,4,1,1,100,SCHOOL OF COMPUTING,Returning Students and 
,,18,2,1,1,400,SCHOOL OF BUSINESS,Returning Students and 
,,1,2,257,400,400,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,3,8,250,688,1006,SCHOOL OF BUSINESS,NUS Students [G]
ACC1002X,LECTURE B2,25,0,0,0,0,SCIENCE,Returning Students and 
,,57,51,1,1,6000,ENGINEERING,Returning Students and 
,,7,1,12,1,12,SCHOOL OF COMPUTING,Returning Students and 
,,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,1,2,40,253,253,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,3,8,386,850,999,SCHOOL OF BUSINESS,NUS Students [G]
ACC1006,LECTURE C1,23,3,1,1,100,SCHOOL OF BUSINESS,Returning Students and 
ACC1006,LECTURE C2,39,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE B1,12,1,1,1,1,SCHOOL OF COMPUTING,Returning Students and 
,,36,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE B2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,51,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,8,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
ACC4611,SECTIONAL TEACHING J1,19,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
AR1102,DESIGN LECTURE 1,29,5,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1326,LECTURE 1,37,5,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1721,LECTURE 1,51,6,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2102,DESIGN LECTURE 1,58,14,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2223,LECTURE 1,54,14,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2326,LECTURE 1,43,15,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2724,LECTURE 1,48,16,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3102,DESIGN LECTURE 1,39,11,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3323,LECTURE 1,36,10,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3324,LECTURE 1,32,9,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4102,DESIGN LECTURE 1,31,8,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4104,DESIGN LECTURE 1,37,6,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4323,LECTURE 1,37,7,1,1,5000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5011,LECTURE 1,53,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
BN4201,LECTURE 1,4,3,2000,1,5905,ENGINEERING,Returning Students and 
BN4202,LECTURE 1,19,0,0,0,0,ENGINEERING,Returning Students and 
BN4402,LECTURE 1,14,1,1,1,1,ENGINEERING,Returning Students and 
BSP1004,LECTURE D1,3,4,201,201,501,SCIENCE,Returning Students and 
,,11,3,1,1,300,ENGINEERING,Returning Students and 
,,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,1,2,100,365,365,SCHOOL OF BUSINESS,Returning Students and 
,,3,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP1004,LECTURE D2,2,1,408,1,408,SCIENCE,Returning Students and 
