Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE B1,13,0,0,0,0,SCIENCE,Returning Students [P]
,,152,65,1,1,4000,ENGINEERING,Returning Students [P]
,,9,4,1,1,600,SCHOOL OF COMPUTING,Returning Students [P]
,,18,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,4,6,500,710,1101,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,12,0,0,0,0,SCIENCE,New Students [P]
,,38,69,5,788,1568,ENGINEERING,New Students [P]
,,15,19,3,200,817,SCHOOL OF COMPUTING,New Students [P]
,,6,6,25,1,350,SCHOOL OF BUSINESS,New Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1002X,LECTURE B2,12,0,0,0,0,SCIENCE,Returning Students [P]
,,152,83,1,1,6405,ENGINEERING,Returning Students [P]
,,11,3,1,1,99,SCHOOL OF COMPUTING,Returning Students [P]
,,26,5,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
,,4,5,400,600,1500,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,13,0,0,0,0,SCIENCE,New Students [P]
,,38,55,102,700,1566,ENGINEERING,New Students [P]
,,9,11,75,100,850,SCHOOL OF COMPUTING,New Students [P]
,,8,8,2,1,500,SCHOOL OF BUSINESS,New Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1006,LECTURE C1,20,4,6,1,400,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC1006,LECTURE C2,30,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B1,10,1,100,1,100,SCHOOL OF COMPUTING,Returning Students [P]
,,35,8,1,1,1001,SCHOOL OF BUSINESS,Returning Students [P]
,,4,1,100,1,100,SCHOOL OF COMPUTING,New Students [P]
,,15,4,1,1,10,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B2,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,45,10,1,1,500,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,30,8,1,1,150,SCHOOL OF BUSINESS,New Students [P]
ACC4611,SECTIONAL TEACHING J1,40,21,1,1,1211,SCHOOL OF BUSINESS,Returning Students [P]
AR1102,DESIGN LECTURE 1,147,114,1,1,700,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1326,LECTURE 1,155,114,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1721,LECTURE 1,168,114,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2102,DESIGN LECTURE 1,169,89,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2223,LECTURE 1,165,89,1,1,150,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2326,LECTURE 1,153,88,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2724,LECTURE 1,157,87,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3102,DESIGN LECTURE 1,158,97,1,1,1748,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3323,LECTURE 1,155,99,1,1,1748,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3324,LECTURE 1,150,97,1,1,1748,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4102,DESIGN LECTURE 1,60,36,1,1,6000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4104,DESIGN LECTURE 1,70,38,1,1,3004,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4323,LECTURE 1,70,39,1,1,7945,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5011,LECTURE 1,50,7,1,1,1500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
BN4201,LECTURE 1,25,17,1,1,5170,ENGINEERING,Returning Students [P]
BN4202,LECTURE 1,27,6,1,1,500,ENGINEERING,Returning Students [P]
BN4203,LECTURE 1,20,29,1,1512,6347,ENGINEERING,Returning Students [P]
BN4402,LECTURE 1,55,37,1,1,5000,ENGINEERING,Returning Students [P]
BN4404,LECTURE 1,55,55,1,1,5000,ENGINEERING,Returning Students [P]
BSP1004,LECTURE D1,5,4,1,1,1515,SCIENCE,Returning Students [P]
,,16,5,1,1,1500,ENGINEERING,Returning Students [P]
,,10,4,10,1,100,SCHOOL OF COMPUTING,Returning Students [P]
,,5,3,1,1,20,SCHOOL OF BUSINESS,Returning Students [P]
,,5,1,1,1,1,SCIENCE,New Students [P]
,,4,5,60,72,250,ENGINEERING,New Students [P]
,,11,2,101,1,400,SCHOOL OF COMPUTING,New Students [P]
,,4,5,16,102,591,SCHOOL OF BUSINESS,New Students [P]
BSP1004,LECTURE D2,5,4,2,1,1470,SCIENCE,Returning Students [P]
,,16,5,1,1,1000,ENGINEERING,Returning Students [P]
,,9,2,20,1,200,SCHOOL OF COMPUTING,Returning Students [P]
,,35,4,1,1,2788,SCHOOL OF BUSINESS,Returning Students [P]
,,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,5,3,11,1,100,SCIENCE,New Students [P]
,,4,6,1,100,781,ENGINEERING,New Students [P]
,,8,4,100,1,200,SCHOOL OF COMPUTING,New Students [P]
,,10,11,1,1,1000,SCHOOL OF BUSINESS,New Students [P]
,,1,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP1005,LECTURE F1,5,2,1,1,1,SCIENCE,Returning Students [P]
,,16,4,1,1,500,ENGINEERING,Returning Students [P]
,,7,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,5,2,10,1,100,SCHOOL OF BUSINESS,Returning Students [P]
,,5,5,3,1,800,SCIENCE,New Students [P]
,,4,13,307,823,1563,ENGINEERING,New Students [P]
,,10,3,1,1,500,SCHOOL OF COMPUTING,New Students [P]
,,4,5,200,200,459,SCHOOL OF BUSINESS,New Students [P]
BSP1005,LECTURE F2,5,2,1,1,102,SCIENCE,Returning Students [P]
,,16,4,10,1,1000,ENGINEERING,Returning Students [P]
,,8,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,15,2,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,2,2,240,1,300,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
,,5,4,1,1,354,SCIENCE,New Students [P]
,,4,8,3,822,1002,ENGINEERING,New Students [P]
,,12,2,5,1,10,SCHOOL OF COMPUTING,New Students [P]
,,8,5,20,1,1400,SCHOOL OF BUSINESS,New Students [P]
,,1,3,300,1566,1566,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP2001,LECTURE A1,40,11,1,1,200,SCHOOL OF BUSINESS,Returning Students [P]
,,20,16,1,1,1356,SCHOOL OF BUSINESS,New Students [P]
BSP2001,LECTURE A2,40,11,1,1,400,SCHOOL OF BUSINESS,Returning Students [P]
,,20,6,10,1,1000,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E1,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,40,8,1,1,503,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,20,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
BSP2005,LECTURE E2,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,40,6,1,1,5,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,20,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
BSP3001,SECTIONAL TEACHING A1,17,6,2,1,300,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A2,17,2,1,1,5,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A3,18,3,1,1,300,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A4,18,5,1,1,800,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A5,18,3,1,1,7,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A6,18,6,10,1,1001,SCHOOL OF BUSINESS,Returning Students [P]
BSP4512,SECTIONAL TEACHING B1,49,48,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
CE2112,LECTURE 1,120,72,1,1,230,ENGINEERING,Returning Students [P]
,,20,9,1,1,100,ENGINEERING,New Students [P]
CE2183,LECTURE 1,150,70,1,1,206,ENGINEERING,Returning Students [P]
,,20,9,1,1,100,ENGINEERING,New Students [P]
