Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,4,7,346,737,1670,SCHOOL OF BUSINESS,NUS Students [P]
ACC1002X,LECTURE B1,16,39,155,2266,5000,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC2002,LECTURE B,2,13,1,1561,2860,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC3601,SECTIONAL TEACHING A2,22,8,1,1,1819,SCHOOL OF BUSINESS,NUS Students [P]
ACC3602,SECTIONAL TEACHING B1,11,9,1,1,1783,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC3602,SECTIONAL TEACHING B2,6,3,726,1,1412,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC3603,SECTIONAL TEACHING C2,6,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
ACC3604,SECTIONAL TEACHING D2,4,5,7,150,1500,SCHOOL OF BUSINESS,NUS Students [P]
ACC3605,SECTIONAL TEACHING E1,1,2,313,450,450,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC3605,SECTIONAL TEACHING E2,13,7,1,1,726,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC3614,SECTIONAL TEACHING H1,20,14,2,1,2174,SCHOOL OF BUSINESS,NUS Students [P, G]
AR1101,DESIGN TUTORIAL 1,22,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1121,LECTURE 1,24,2,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1221,LECTURE 1,11,1,150,1,150,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2101,DESIGN TUTORIAL 1,9,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3101,DESIGN TUTORIAL 1,58,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3222,LECTURE 1,32,8,1,1,249,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P, G]
AR4101,DESIGN TUTORIAL 1,42,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4101,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4103,DESIGN TUTORIAL 1,11,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4103,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 1,74,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5321,LECTURE 1,16,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5610,LECTURE 1,11,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS2213,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3238,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P]
BCP4002A,LECTURE ZA1,492,4,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
BCP4002B,LECTURE ZB1,498,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001A,LECTURE ZA1,500,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001B,LECTURE ZB1,499,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BHT4001C,LECTURE ZC1,499,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
BN4301,LECTURE 1,15,2,1,1,1,ENGINEERING,NUS Students [P]
BN4406,LECTURE 1,42,1,1,1,1,ENGINEERING,NUS Students [P]
BSP1004,LECTURE D2,4,14,403,2000,2387,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E,3,9,250,1000,1240,SCHOOL OF BUSINESS,NUS Students [P, G]
BU4380,LECTURE 1,8,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
BU4480,LECTURE 1,17,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
BU4490,LECTURE 1,68,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
CE2134,LECTURE 1,103,9,1,1,100,ENGINEERING,NUS Students [P]
CE2155,LECTURE 1,123,5,1,1,200,ENGINEERING,NUS Students [P]
CE2184,LECTURE 1,123,6,1,1,824,ENGINEERING,NUS Students [P, G]
CE2407,LECTURE 1,87,15,1,1,100,ENGINEERING,NUS Students [P]
CE2408,LECTURE 1,96,11,1,1,1000,ENGINEERING,NUS Students [P, G]
CE3101,LECTURE 1,23,2,1,1,1,ENGINEERING,NUS Students [P, G]
CE3102,LECTURE 1,5,4,1002,1,3000,ENGINEERING,NUS Students [P]
CE3115,LECTURE 1,79,3,1,1,200,ENGINEERING,NUS Students [P]
CE3121,LECTURE 1,77,5,1,1,10,ENGINEERING,NUS Students [P]
CE3165,LECTURE 1,105,8,1,1,18,ENGINEERING,NUS Students [P]
CE4103,LECTURE 1,79,6,1,1,325,ENGINEERING,NUS Students [P]
CE4104,LECTURE 1,71,9,1,1,2,ENGINEERING,NUS Students [P]
CE4257,LECTURE 1,32,2,1,1,1000,ENGINEERING,NUS Students [P]
CE5101,LECTURE 1,18,0,0,0,0,ENGINEERING,NUS Students [P]
CE5104,LECTURE 1,8,1,1,1,1,ENGINEERING,NUS Students [P]
CE5105,LECTURE 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
CE5108,LECTURE 1,7,4,1,1,101,ENGINEERING,NUS Students [P]
CE5203,LECTURE 1,12,0,0,0,0,ENGINEERING,NUS Students [P]
CE5205,LECTURE 1,22,0,0,0,0,ENGINEERING,NUS Students [P]
CE5509,LECTURE 1,5,0,0,0,0,ENGINEERING,NUS Students [P]
CE5514,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
