Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE B1,13,0,0,0,0,SCIENCE,Returning Students [P]
,,87,14,1,1,5985,ENGINEERING,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,18,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,12,0,0,0,0,SCIENCE,New Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1002X,LECTURE B2,12,0,0,0,0,SCIENCE,Returning Students [P]
,,69,13,1,1,5748,ENGINEERING,Returning Students [P]
,,8,1,671,1,671,SCHOOL OF COMPUTING,Returning Students [P]
,,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,13,0,0,0,0,SCIENCE,New Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
ACC1006,LECTURE C1,16,2,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,10,1,200,1,200,SCHOOL OF BUSINESS,New Students [P]
ACC1006,LECTURE C2,30,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B1,9,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,27,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
,,3,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,11,2,5,1,85,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B2,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,35,5,1,1,1003,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
,,22,2,1,1,100,SCHOOL OF BUSINESS,New Students [P]
ACC4611,SECTIONAL TEACHING J1,19,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
