Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,10,1,300,1,300,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B1,20,16,1,1,1003,SCIENCE,Returning Students [P]
,,130,89,1,1,4020,ENGINEERING,Returning Students [P]
,,20,28,120,450,855,SCHOOL OF COMPUTING,Returning Students [P]
,,27,9,1,1,400,SCHOOL OF BUSINESS,Returning Students [P]
,,1,3,250,510,510,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
ACC1002X,LECTURE B2,20,13,1,1,302,SCIENCE,Returning Students [P]
,,135,103,1,1,4555,ENGINEERING,Returning Students [P]
,,25,10,10,1,106,SCHOOL OF COMPUTING,Returning Students [P]
,,27,7,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
,,1,2,101,1000,1000,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
ACC1006,LECTURE C,50,38,1,1,600,SCHOOL OF BUSINESS,Returning Students [P]
ACC2002,LECTURE B,25,5,1,1,88,SCHOOL OF COMPUTING,Returning Students [P]
AR2101,DESIGN LECTURE 1,158,107,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,149,106,1,1,450,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,PACKAGED LECTURE 1,158,107,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,185,106,1,1,450,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN LECTURE 1,128,92,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,127,93,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN LECTURE 1,70,37,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4103,DESIGN LECTURE 1,70,31,1,1,1001,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4322,LECTURE 1,80,36,1,1,1001,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5011,LECTURE 1,80,30,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5312,LECTURE 1,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5321,LECTURE 1,110,67,1,1,4703,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5610,LECTURE 1,18,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AS2237,LECTURE 1,2,3,173,800,800,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3232,SEMINAR-STYLE MODULE CLASS 1,1,1,500,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3240,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS4231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BN4301,LECTURE 1,50,44,1,1,2000,ENGINEERING,Returning Students [P]
BN4403,LECTURE 1,15,31,1000,4888,6566,ENGINEERING,Returning Students [P]
BN4406,LECTURE 1,50,41,1,1,2000,ENGINEERING,Returning Students [P]
BSP1004,LECTURE D1,5,6,203,210,1365,SCIENCE,Returning Students [P]
,,15,6,1,1,3005,ENGINEERING,Returning Students [P]
,,15,5,1,1,202,SCHOOL OF COMPUTING,Returning Students [P]
,,20,7,1,1,2333,SCHOOL OF BUSINESS,Returning Students [P]
BSP1004,LECTURE D2,5,7,11,80,1000,SCIENCE,Returning Students [P]
,,15,4,11,1,1002,ENGINEERING,Returning Students [P]
,,15,2,1,1,15,SCHOOL OF COMPUTING,Returning Students [P]
,,15,14,1,1,2000,SCHOOL OF BUSINESS,Returning Students [P]
,,3,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
BSP1005A,LECTURE D1,22,10,1,1,1100,ENGINEERING,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,17,12,1,1,500,SCHOOL OF BUSINESS,Returning Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
BSP1005A,LECTURE D2,22,5,6,1,1000,ENGINEERING,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,16,4,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
,,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
BSP1005B,LECTURE D3,15,5,1,1,100,SCIENCE,Returning Students [P]
,,20,1,400,1,400,SCHOOL OF BUSINESS,Returning Students [P]
BSP2001,LECTURE A1,3,21,1,1208,2003,SCHOOL OF BUSINESS,Returning Students [P]
BSP2005,LECTURE E1,20,27,10,401,2000,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A2,14,4,1,1,123,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A4,4,3,25,1,820,SCHOOL OF BUSINESS,Returning Students [P]
BSP3001,SECTIONAL TEACHING A6,50,5,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
BSP4513,SECTIONAL TEACHING C1,55,36,1,1,566,SCHOOL OF BUSINESS,Returning Students [P]
CE2134,LECTURE 1,130,160,1,5,1116,ENGINEERING,Returning Students [P]
CE2155,LECTURE 1,130,91,1,1,500,ENGINEERING,Returning Students [P]
CE2184,LECTURE 1,110,129,1,3,1000,ENGINEERING,Returning Students [P]
