Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,25,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE B1,16,0,0,0,0,SCIENCE,Returning Students and 
,,2,13,1,5605,5638,ENGINEERING,Returning Students and 
,,45,1,1,1,1,SCHOOL OF COMPUTING,Returning Students and 
,,44,7,1,1,301,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE B2,18,0,0,0,0,SCIENCE,Returning Students and 
,,5,12,150,3677,5000,ENGINEERING,Returning Students and 
,,52,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,42,2,1,1,10,SCHOOL OF BUSINESS,Returning Students and 
ACC1006,LECTURE C,4,3,10,1,995,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE B1,2,3,200,501,911,SCHOOL OF COMPUTING,Returning Students and 
,,13,2,83,1,100,SCHOOL OF BUSINESS,Returning Students and 
,,13,5,1,1,700,SCHOOL OF BUSINESS,NUS Students [G]
ACC2002,LECTURE B2,1,2,50,103,103,SCHOOL OF COMPUTING,Returning Students and 
,,5,5,1,1,301,SCHOOL OF BUSINESS,Returning Students and 
,,13,4,10,1,162,SCHOOL OF BUSINESS,NUS Students [G]
ACC3606,SECTIONAL TEACHING A1,3,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
ACC3613,SECTIONAL TEACHING D1,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC3613,SECTIONAL TEACHING D2,2,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
ACC3613,SECTIONAL TEACHING D3,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC3615,SECTIONAL TEACHING E1,3,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC3615,SECTIONAL TEACHING E2,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC3615,SECTIONAL TEACHING E3,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
AR1102,DESIGN TUTORIAL 1,11,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1326,LECTURE 1,13,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1721,LECTURE 1,15,8,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2102,DESIGN TUTORIAL 1,19,9,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2223,LECTURE 1,24,9,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Reserved for [G] in later round
AR2326,LECTURE 1,31,7,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2724,LECTURE 1,28,7,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3102,DESIGN TUTORIAL 1,30,7,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3323,LECTURE 1,54,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3324,LECTURE 1,32,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4102,DESIGN TUTORIAL 1,24,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4104,DESIGN TUTORIAL 1,14,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4323,LECTURE 1,11,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5011,LECTURE 1,5,8,3467,5391,5467,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5011,LECTURE 2,43,2,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
BCP4002A,SECTIONAL TEACHING A,491,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BCP4002B,SECTIONAL TEACHING B,499,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BHT4001A,SECTIONAL TEACHING A,498,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BHT4001B,SECTIONAL TEACHING B,499,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BHT4001C,SECTIONAL TEACHING C,499,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BN4202,LECTURE 1,25,0,0,0,0,ENGINEERING,Returning Students and 
BN4402,LECTURE 1,15,2,1,1,100,ENGINEERING,Returning Students and 
BN4404,LECTURE 1,14,5,10,1,1500,ENGINEERING,Returning Students and 
BSP1004,LECTURE D1,30,5,1,1,150,SCHOOL OF BUSINESS,Returning Students and 
,,7,1,929,1,929,SCHOOL OF BUSINESS,NUS Students [G]
BSP1004,LECTURE D2,2,2,2570,1,3200,ENGINEERING,Returning Students and 
,,2,9,5,1884,3003,SCHOOL OF COMPUTING,Returning Students and 
,,28,1,999,1,999,SCHOOL OF BUSINESS,Returning Students and 
,,7,3,1,1,632,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE F1,5,9,377,1501,2198,ENGINEERING,Returning Students and 
,,36,3,1,1,100,SCHOOL OF BUSINESS,Returning Students and 
,,7,14,212,529,886,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE F2,5,8,1000,2800,4499,ENGINEERING,Returning Students and 
,,34,3,1,1,999,SCHOOL OF BUSINESS,Returning Students and 
,,7,8,1,26,829,SCHOOL OF BUSINESS,NUS Students [G]
BSP2001,LECTURE A1,78,2,1,1,55,SCHOOL OF BUSINESS,Returning Students and 
,,26,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP2005,LECTURE E1,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,3,9,152,805,1671,SCHOOL OF BUSINESS,Returning Students and 
,,15,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
BSP2005,LECTURE E2,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
BSP3001,SECTIONAL TEACHING A1,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A10,10,2,10,1,10,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A2,7,1,1905,1,1905,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A3,1,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A4,8,5,2,1,1203,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A5,4,3,720,1,887,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A6,8,2,1,1,500,SCHOOL OF BUSINESS,Returning Students and 
BSP3001,SECTIONAL TEACHING A7,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
