Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE X1,5,18,1,1500,4150,SCHOOL OF BUSINESS,Returning Students [P] and 
ACC1002X,LECTURE X2,8,20,1,897,1949,SCHOOL OF BUSINESS,Returning Students [P] and 
ACC2002,LECTURE B1,13,6,1,1,1234,SCHOOL OF BUSINESS,Returning Students [P] and 
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
ACC4612D,SECTIONAL TEACHING D1,27,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P] and 
ACC4612E,SECTIONAL TEACHING E1,2,2,1000,1,2000,SCHOOL OF BUSINESS,Returning Students [P] and 
AR1101,DESIGN LECTURE 1,23,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1327,LECTURE 1,17,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2101,DESIGN LECTURE 1,36,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2521,LECTURE 1,34,4,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,34,4,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN LECTURE 1,13,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN LECTURE 1,7,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4103,DESIGN LECTURE 1,23,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4222,LECTURE 1,1,1,100,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4322,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5011,LECTURE 1,12,2,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5312,LECTURE 1,3,1,100,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5321,LECTURE 1,26,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AS2236,LECTURE 1,7,5,20,1,700,ARTS & SOCIAL SCIENCES,Returning Students [P] and 
,,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
AS2237,LECTURE 1,9,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and 
AS3238,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and 
BN4403,LECTURE 1,1,1,1,1,1,ENGINEERING,Returning Students [P]
BN4406,LECTURE 1,62,1,1,1,1,ENGINEERING,Returning Students [P]
BSP1004X,LECTURE Y1,2,9,3,1000,1500,SCHOOL OF BUSINESS,Returning Students [P] and 
,,3,0,0,0,0,SCIENCE,New Students [P]
,,3,3,250,1,251,ENGINEERING,New Students [P]
,,21,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
BSP1005,LECTURE D1,2,1,347,1,347,SCHOOL OF COMPUTING,New Students [P]
BSP1005,LECTURE D2,1,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
BSP1005,LECTURE D3,25,17,1,1,795,SCHOOL OF BUSINESS,Returning Students [P] and 
,,6,3,3,1,290,SCIENCE,New Students [P]
,,3,2,10,1,190,ENGINEERING,New Students [P]
BSP2001,LECTURE X1,25,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P] and 
BSP2001,LECTURE X2,23,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P] and 
BSP2005,LECTURE E1,65,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P] and 
,,10,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
BSP2005,LECTURE E2,48,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P] and 
BSP3513,SECTIONAL TEACHING V1,15,2,1,1,1,SCHOOL OF BUSINESS,Returning Students [P] and 
BSP4513,SECTIONAL TEACHING C1,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P] and 
CE2134,LECTURE 1,1,0,0,0,0,ENGINEERING,Returning Students [P]
,,20,0,0,0,0,ENGINEERING,New Students [P]
CE2155,LECTURE 1,34,2,1,1,1,ENGINEERING,Returning Students [P]
,,13,0,0,0,0,ENGINEERING,New Students [P]
CE2184,LECTURE 1,13,0,0,0,0,ENGINEERING,New Students [P]
CE2409,LECTURE 1,1,0,0,0,0,ENGINEERING,Returning Students [P] and 
