Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,28,19,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002,LECTURE B2,9,9,1,1,3000,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B1,25,14,1,1,400,SCIENCE,Returning Students [P]
,,140,153,1,100,4690,ENGINEERING,Returning Students [P]
,,17,11,1,1,976,SCHOOL OF COMPUTING,Returning Students [P]
ACC1002X,LECTURE B2,25,13,1,1,201,SCIENCE,Returning Students [P]
,,140,162,1,200,5555,ENGINEERING,Returning Students [P]
,,27,9,5,1,534,SCHOOL OF COMPUTING,Returning Students [P]
ACC1006,LECTURE C,10,21,101,1000,2066,SCHOOL OF BUSINESS,Returning Students [P]
ACC2002,LECTURE B,10,10,1,1,793,SCHOOL OF COMPUTING,Returning Students [P]
AR1101,DESIGN TUTORIAL 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2101,DESIGN TUTORIAL 1,147,117,1,1,550,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,147,116,1,1,600,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,PACKAGED LECTURE 1,145,114,1,1,550,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,145,116,1,1,550,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN TUTORIAL 1,135,78,1,1,6009,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,136,77,1,1,2035,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN TUTORIAL 1,70,26,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4103,DESIGN TUTORIAL 1,45,25,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4222,LECTURE 1,15,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4322,LECTURE 1,46,25,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4323,LECTURE 1,45,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5011,LECTURE 1,80,27,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5312,LECTURE 1,15,4,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5321,LECTURE 1,110,45,1,1,2035,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5610,LECTURE 1,15,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AS2237,LECTURE 1,7,7,2,1,30,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BCP4002A,SECTIONAL TEACHING A,500,63,1,1,100,SCHOOL OF BUSINESS,Returning Students [P]
BCP4002B,SECTIONAL TEACHING B,500,2,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001A,SECTIONAL TEACHING A,500,11,1,1,792,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001B,SECTIONAL TEACHING B,500,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001C,SECTIONAL TEACHING C,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BN2101,LECTURE 1,70,0,0,0,0,ENGINEERING,Returning Students [P]
BN3101,LECTURE 1,75,0,0,0,0,ENGINEERING,Returning Students [P]
BN3201,LECTURE 1,70,0,0,0,0,ENGINEERING,Returning Students [P]
