Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE V1,43,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE X1,19,35,500,1655,3800,SCIENCE,Returning Students and 
,,15,0,0,0,0,LAW,Returning Students and 
,,76,15,1,1,1568,ENGINEERING,Returning Students and 
,,7,11,1,500,1512,SCHOOL OF COMPUTING,Returning Students and 
ACC1002X,LECTURE X2,30,46,100,1000,2599,SCIENCE,Returning Students and 
,,61,31,1,1,2000,ENGINEERING,Returning Students and 
,,12,6,11,1,850,SCHOOL OF COMPUTING,Returning Students and 
,,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,4,25,10,2213,2509,SCHOOL OF BUSINESS,NUS Students [G]
ACC1006,LECTURE J1,65,2,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,20,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
ACC2002,LECTURE K1,20,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,65,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,16,19,5,105,2100,SCHOOL OF BUSINESS,NUS Students [G]
ACC2002,LECTURE K2,19,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,60,2,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,17,21,1,250,2012,SCHOOL OF BUSINESS,NUS Students [G]
ACC4611,SECTIONAL TEACHING J1,24,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,3,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
ACC4612A,SECTIONAL TEACHING K1,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
AR1102,DESIGN LECTURE 1,21,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1326,LECTURE 1,22,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1721,LECTURE 1,32,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2102,DESIGN LECTURE 1,40,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2223,LECTURE 1,46,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2326,LECTURE 1,46,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2724,LECTURE 1,47,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3102,DESIGN LECTURE 1,29,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3323,LECTURE 1,42,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3324,LECTURE 1,33,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4102,DESIGN LECTURE 1,20,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4104,DESIGN LECTURE 1,13,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4142,LECTURE 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4223,LECTURE 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4322,LECTURE 1,12,2,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5011,LECTURE 1,11,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5221,LECTURE 1,24,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AS3239,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
,,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS4219,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
BN4201,LECTURE 1,17,0,0,0,0,ENGINEERING,Returning Students and 
BN4202,LECTURE 1,11,1,1,1,1,ENGINEERING,Returning Students and 
BN4203,LECTURE 1,41,0,0,0,0,ENGINEERING,Returning Students and 
BN4402,LECTURE 1,59,3,1,1,600,ENGINEERING,Returning Students and 
BN4404,LECTURE 1,2,1,1,1,1,ENGINEERING,Returning Students and 
BSP1004X,LECTURE Y1,3,5,52,560,1000,SCIENCE,Returning Students and 
,,31,6,1,1,1000,ENGINEERING,Returning Students and 
,,50,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,8,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,1,1,300,1,300,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,35,53,1,799,2300,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE D1,7,7,15,1,486,SCIENCE,Returning Students and 
,,6,6,1,1,3394,ENGINEERING,Returning Students and 
,,28,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,49,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
,,17,24,150,463,1103,SCHOOL OF BUSINESS,NUS Students [G]
BSP1005,LECTURE D2,7,9,1,176,700,SCIENCE,Returning Students and 
,,12,9,1,1,1000,ENGINEERING,Returning Students and 
,,29,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,42,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,19,29,1,476,1233,SCHOOL OF BUSINESS,NUS Students [G]
BSP2001,LECTURE G1,64,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,20,3,1,1,55,SCHOOL OF BUSINESS,NUS Students [G]
BSP2001,LECTURE G2,67,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,20,4,1,1,90,SCHOOL OF BUSINESS,NUS Students [G]
BSP2005,LECTURE E1,20,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,7,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,20,1,100,1,100,SCHOOL OF BUSINESS,NUS Students [G]
BSP2005,LECTURE E2,20,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,3,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,20,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001A,SECTIONAL TEACHING A1,7,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001A,SECTIONAL TEACHING A2,8,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001A,SECTIONAL TEACHING A3,9,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001B,SECTIONAL TEACHING B4,9,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001B,SECTIONAL TEACHING B5,10,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001B,SECTIONAL TEACHING B6,9,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
BSP3001C,SECTIONAL TEACHING C7,8,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
