Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002X,LECTURE X1,1,13,1,5000,5000,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC1002X,LECTURE X2,1,10,1,4022,4022,SCHOOL OF BUSINESS,NUS Students [P, G]
ACC4612D,SECTIONAL TEACHING D1,26,1,309,1,309,SCHOOL OF BUSINESS,NUS Students [P, G]
AR1101,DESIGN LECTURE 1,21,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR1327,LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2101,DESIGN LECTURE 1,33,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2521,LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR2723,LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3101,DESIGN LECTURE 1,11,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR3222,LECTURE 1,1,3,3,2719,2719,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4101,DESIGN LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4103,DESIGN LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR4322,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5011,LECTURE 1,9,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5312,LECTURE 1,3,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AR5321,LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
AS2236,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS2237,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
AS3238,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [P, G]
BN4403,LECTURE 1,1,2,1000,5000,5000,ENGINEERING,NUS Students [P]
BN4406,LECTURE 1,61,0,0,0,0,ENGINEERING,NUS Students [P]
BSP1004X,LECTURE Y1,2,6,230,600,1401,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D1,1,2,2,100,100,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D2,1,2,1,1265,1265,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP1005,LECTURE D3,5,6,2,583,1506,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2001,LECTURE X1,23,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2001,LECTURE X2,15,2,1,1,10,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E1,74,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP2005,LECTURE E2,43,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP3513,SECTIONAL TEACHING V1,9,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
BSP4513,SECTIONAL TEACHING C1,7,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P, G]
CE2134,LECTURE 1,22,0,0,0,0,ENGINEERING,NUS Students [P]
CE2155,LECTURE 1,43,0,0,0,0,ENGINEERING,NUS Students [P]
CE2184,LECTURE 1,6,0,0,0,0,ENGINEERING,NUS Students [P, G]
CE2409,LECTURE 1,138,0,0,0,0,ENGINEERING,NUS Students [P, G]
CE3101,PACKAGED LECTURE 1,1,2,499,800,800,ENGINEERING,NUS Students [P, G]
CE3115,LECTURE 1,5,1,1,1,1,ENGINEERING,NUS Students [P]
CE3121,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
CE3166,LECTURE 1,24,1,1,1,1,ENGINEERING,NUS Students [P]
CE4103,LECTURE Dsg,8,2,1,1,2,ENGINEERING,NUS Students [P]
CE4257,LECTURE 1,16,0,0,0,0,ENGINEERING,NUS Students [P]
CE5101,LECTURE 1,13,1,1,1,1,ENGINEERING,NUS Students [P]
CE5104,LECTURE 1,6,1,1,1,1,ENGINEERING,NUS Students [P]
CE5108,LECTURE 1,7,2,1,1,1,ENGINEERING,NUS Students [P]
CE5113,LECTURE 1,14,1,1,1,1,ENGINEERING,NUS Students [P]
CE5203,LECTURE 1,5,1,1,1,1,ENGINEERING,NUS Students [P]
CE5205,LECTURE 1,1,0,0,0,0,ENGINEERING,NUS Students [P]
CE5307,LECTURE 1,5,0,0,0,0,ENGINEERING,NUS Students [P]
CE5312,LECTURE 1,9,0,0,0,0,ENGINEERING,NUS Students [P]
CE5510,LECTURE 1,5,0,0,0,0,ENGINEERING,NUS Students [P]
CE5514,LECTURE 1,7,2,1,1,100,ENGINEERING,NUS Students [P]
