Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,19,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B1,67,6,1,1,3000,ENGINEERING,Returning Students [P]
,,27,1,5,1,5,SCHOOL OF COMPUTING,Returning Students [P]
,,2,2,2,1,50,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B2,21,0,0,0,0,SCIENCE,Returning Students [P]
,,15,0,0,0,0,LAW,Returning Students [P]
,,83,11,1,1,2002,ENGINEERING,Returning Students [P]
,,20,1,50,1,50,SCHOOL OF BUSINESS,Returning Students [P]
ACC2002,LECTURE B1,31,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
AR1101,DESIGN LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR1121,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR1221,LECTURE 1,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2101,DESIGN LECTURE 1,47,4,1,1,666,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,52,4,1,1,666,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,LECTURE 1,155,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,52,4,1,1,666,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN LECTURE 1,60,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,59,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN LECTURE 1,45,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4103,DESIGN LECTURE 1,41,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4323,LECTURE 1,49,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5011,LECTURE 1,67,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5312,LECTURE 1,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR5321,LECTURE 1,82,11,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AS2237,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3231,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
AS3234,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
BN3402,LECTURE 1,3,0,0,0,0,ENGINEERING,Returning Students [P]
BN4301,LECTURE 1,22,0,0,0,0,ENGINEERING,Returning Students [P]
BN4403,LECTURE 1,17,0,0,0,0,ENGINEERING,Returning Students [P]
BN4406,LECTURE 1,43,0,0,0,0,ENGINEERING,Returning Students [P]
BSP1004X,LECTURE Y1,3,3,1,1,1000,SCIENCE,Returning Students [P]
,,30,2,1,1,1,ENGINEERING,Returning Students [P]
,,34,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
,,15,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
BSP1005,LECTURE D1,12,1,1,1,1,SCIENCE,Returning Students [P]
