Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE V1,15,2,1,1,100,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE X1,30,13,1,1,100,SCIENCE,Returning Students [P]
,,15,0,0,0,0,LAW,Returning Students [P]
,,150,67,1,1,2000,ENGINEERING,Returning Students [P]
,,20,13,1,1,800,SCHOOL OF COMPUTING,Returning Students [P]
ACC1002X,LECTURE X2,20,11,1,1,400,SCIENCE,Returning Students [P]
,,110,55,1,1,3947,ENGINEERING,Returning Students [P]
,,20,5,1,1,500,SCHOOL OF COMPUTING,Returning Students [P]
,,6,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
ACC2002,LECTURE B1,40,61,1,950,2001,SCHOOL OF BUSINESS,Returning Students [P]
ACC4612D,SECTIONAL TEACHING D1,32,5,1,1,999,SCHOOL OF BUSINESS,Returning Students [P]
ACC4612E,SECTIONAL TEACHING E1,32,45,126,813,4500,SCHOOL OF BUSINESS,Returning Students [P]
AR2101,DESIGN LECTURE 1,170,126,1,1,25,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,60,65,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2521,LECTURE 1,170,128,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,170,128,1,1,25,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN LECTURE 1,107,80,1,1,26,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,107,80,1,1,26,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR4101,DESIGN LECTURE 1,55,36,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
