Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,16,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE B1,25,49,1,1597,3500,SCIENCE,Returning Students and 
,,3,5,1,816,3003,ENGINEERING,Returning Students and 
,,9,3,1,1,10,SCHOOL OF BUSINESS,Returning Students and 
ACC1002X,LECTURE B2,25,48,51,1500,2519,SCIENCE,Returning Students and 
,,4,10,1,800,2001,ENGINEERING,Returning Students and 
,,7,11,706,1500,5235,SCHOOL OF COMPUTING,Returning Students and 
,,22,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and 
ACC1006,LECTURE C1,10,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
ACC1006,LECTURE C2,85,1,2,1,2,SCHOOL OF BUSINESS,Returning Students and 
ACC2002,LECTURE B1,6,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,6,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
ACC2002,LECTURE B2,6,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and 
,,67,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
,,14,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
ACC4611,SECTIONAL TEACHING J1,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and 
AR1102,DESIGN TUTORIAL 1,7,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1326,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR1721,LECTURE 1,19,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2102,DESIGN TUTORIAL 1,14,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2223,LECTURE 1,19,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2326,LECTURE 1,17,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR2724,LECTURE 1,49,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3102,DESIGN TUTORIAL 1,12,4,1,1,1500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3323,LECTURE 1,26,4,1,1,1500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR3324,LECTURE 1,14,4,1,1,1500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4102,DESIGN TUTORIAL 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4104,DESIGN TUTORIAL 1,18,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR4223,LECTURE 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5011,LECTURE 2,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AR5221,LECTURE 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and 
AS2213,SEMINAR-STYLE MODULE CLASS 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS3231,SEMINAR-STYLE MODULE CLASS 1,3,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students and 
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
AS4231,SEMINAR-STYLE MODULE CLASS 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and 
